City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Albuquerque,Ford,EcoSport,SUV,Used,Gray,,Automatic,Gasoline,3-Cylinder Turbo,2 wheel drive - front,27 City / 29 Highway,2021,87107,"8,757",24990
Albuquerque,Chevrolet,Camaro,COUPE,Used,Red,Jet Black,Manual,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 25 Highway,2018,87107,"21,166",41119
Albuquerque,Lexus,NX 200t,SUV,Used,,,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 28 Highway,2015,87109,"54,408",29991
Albuquerque,MINI,Cooper Countryman,SUV,Certified,,,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 33 Highway,2020,87109,"9,106",34991
Albuquerque,Honda,CR-V,SUV,Used,White,,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 32 Highway,2019,87107,"20,373",26990
Albuquerque,Honda,CR-V,SUV,Used,Blue,,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,27 City / 33 Highway,2017,87107,"36,795",27990
Albuquerque,Honda,Civic,COUPE,Used,Silver,Black/Ivory,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 39 Highway,2016,87124,"57,338",18601
Albuquerque,Ford,Escape,SUV,Certified,Gold,Charcoal Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 30 Highway,2018,87124,"32,153",21597
Albuquerque,Nissan,Rogue,SUV,Used,Blue,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 33 Highway,2018,87124,"29,655",24178
Albuquerque,Hyundai,Santa Fe,SUV,Used,Gray,Gray,Automatic,Gasoline,4-Cylinder,All wheel drive,20 City / 26 Highway,2018,87124,"39,750",24454
Albuquerque,Ford,Escape,SUV,Certified,Blue,Charcoal Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 30 Highway,2018,87124,"33,938",24904
Albuquerque,Ford,Fusion,SEDAN,Certified,Gray,Light Putty,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 34 Highway,2020,87124,"15,348",25665
Albuquerque,Ford,Escape,SUV,Certified,Gold,Sandstone,Automatic,Gasoline,3-Cylinder Turbo,2 wheel drive - front,27 City / 33 Highway,2020,87124,"4,162",27224
Albuquerque,Ford,Edge,SUV,Certified,Blue,Dune,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 29 Highway,2019,87124,"27,196",28756
