City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Austin,Audi,Q5,SUV,Used,Black,Nougat Brown,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 27 Highway,2019,78745,"13,088",39748
Austin,Audi,A6,SEDAN,Certified,Silver,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,22 City / 29 Highway,2019,78745,"17,825",49869
Austin,Audi,Q8,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,17 City / 22 Highway,2019,78745,"19,134",65956
Austin,Toyota,RAV4,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 35 Highway,2021,78744,"6,559",36292
Austin,Audi,Q5,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 27 Highway,2018,78745,"18,710",38958
Austin,Honda,Passport,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 24 Highway,2019,78745,"32,591",39865
Austin,Audi,Q5,SUV,Used,White,Atlas Beige,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 28 Highway,2021,78745,"7,096",51855
Austin,Chrysler,300,SEDAN,Used,Black,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 30 Highway,2020,78758,"11,271",30227
Austin,Honda,HR-V,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 34 Highway,2019,78741,"26,754",24907
Austin,Honda,Accord,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2018,78741,"36,656",28991
Austin,Honda,Pilot,SUV,Used,Blue,Gray,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 27 Highway,2018,78741,"20,641",31991
Austin,Honda,Pilot,SUV,Used,Silver,Gray,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 27 Highway,2019,78741,"27,983",35188
Austin,Honda,Ridgeline,TRUCKS,Used,Silver,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 26 Highway,2019,78741,"15,100",35768
Austin,Honda,Passport,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 25 Highway,2019,78741,"21,944",35926
Austin,GMC,Sierra 1500,TRUCKS,Used,Burgundy,Dark Walnut / Slate,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,17 City / 23 Highway,2019,78741,"13,176",52996
Austin,Toyota,Camry,SEDAN,Used,Blue,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 41 Highway,2019,78745,"13,608",31998
Austin,Nissan,Frontier,TRUCKS,Used,White,Steel,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,18 City / 24 Highway,2021,78745,"7,331",33338
Austin,Hyundai,Santa Fe,SUV,Used,Gray,Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,20 City / 27 Highway,2020,78745,"8,325",34698
Austin,Ford,Explorer,SUV,Used,Red,Medium Stone,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,19 City / 27 Highway,2019,78745,"10,210",34798
Austin,Lincoln,MKZ,SEDAN,Used,Blue,Cappuccino,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,42 City / 39 Highway,2019,78745,"16,669",34998
Austin,Nissan,Murano,SUV,Certified,Blue,Cashmere,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 28 Highway,2021,78745,"7,482",43898
Austin,GMC,Yukon,SUV,Used,Silver,Cocoa/Dune,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 23 Highway,2017,78745,"39,813",47998
Austin,Chevrolet,Silverado 1500,TRUCKS,Used,Gray,Black,Automatic,Diesel,6-Cylinder Turbo,4 wheel drive,19 City / 22 Highway,2021,78745,"7,011",52998
Austin,Nissan,Frontier,TRUCKS,Used,Gray,Steel,Automatic,Gasoline,6-Cylinder,4 wheel drive,15 City / 21 Highway,2019,78745,"15,098",33798
Austin,Ford,Explorer,SUV,Used,White,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,21 City / 28 Highway,2020,78745,"17,114",40398
Austin,Kia,Rio,HATCH,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,33 City / 41 Highway,2020,78745,"18,782",19886
Austin,Kia,Forte,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 40 Highway,2019,78745,"26,723",20965
Austin,Lincoln,MKX,SUV,Used,Silver,Cappuccino,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - front,18 City / 26 Highway,2016,78745,"49,277",23986
Austin,Audi,allroad,WAGON,Used,Blue,Brown,Automatic,Flexible Fuel,4-Cylinder Turbo,All wheel drive,21 City / 28 Highway,2016,78745,"47,228",26965
Austin,Audi,A3,SEDAN,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 35 Highway,2018,78745,"22,359",28953
Austin,Audi,A3,SEDAN,Used,Gray,Rock Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 35 Highway,2018,78745,"26,816",28978
Austin,Audi,A3,SEDAN,Used,Blue,Rock Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 35 Highway,2018,78745,"27,264",28999
Austin,Chevrolet,Camaro,COUPE,Used,Gray,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,22 City / 31 Highway,2019,78745,"11,348",31869
Austin,Audi,A3,CONVERT,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 35 Highway,2018,78745,"13,652",31986
Austin,Nissan,Titan,TRUCKS,Used,Gray,Beige,Automatic,Diesel,8-Cylinder Turbo,2 wheel drive - rear,,2017,78745,"31,765",34886
Austin,Audi,A3,CONVERT,Used,White,Chestnut Brown,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 35 Highway,2018,78745,"31,491",36741
Austin,Mercedes-Benz,GLC 300,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,21 City / 27 Highway,2019,78745,"18,151",38258
Austin,Audi,A3,SEDAN,Used,Red,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 30 Highway,2020,78745,"5,670",39863
Austin,Audi,A3,CONVERT,Used,Red,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 31 Highway,2018,78745,"18,582",39980
Austin,Volkswagen,Atlas,SUV,Used,Silver,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,21 City / 24 Highway,2021,78745,636,40485
Austin,Audi,Q5,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 27 Highway,2019,78745,"23,174",44927
Austin,Audi,Q5,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 27 Highway,2019,78745,"28,477",44988
