City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Baltimore,Chevrolet,Impala,SEDAN,Used,Silver,Dark Titanium/Jet Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 31 Highway,2016,21162,"33,137",21500
Baltimore,Toyota,Highlander,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2019,21162,"19,494",39000
Baltimore,Volkswagen,Passat,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 36 Highway,2016,21237,"42,072",19950
Baltimore,Ford,Edge,SUV,Used,White,Ebony,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2018,21237,"19,538",25775
Baltimore,Toyota,RAV4,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,22 City / 28 Highway,2018,21237,"11,693",27950
Baltimore,BMW,330i Gran Turismo xDrive,HATCH,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2018,21204,"25,671",36990
Baltimore,BMW,X6,SUV,Used,Gray,Black,Automatic,Gasoline,8-Cylinder Turbo,All wheel drive,16 City / 22 Highway,2022,21204,"2,757",88990
Baltimore,Dodge,Durango,SUV,Used,White,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 25 Highway,2019,21224,"25,844",35995
Baltimore,Chevrolet,Equinox,SUV,Used,Blue,Jet Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 31 Highway,2016,21162,"46,273",20000
Baltimore,GMC,Terrain,SUV,Used,White,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 28 Highway,2019,21162,"24,254",28000
Baltimore,Lexus,GX 460,SUV,Used,Blue,Sepia,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 18 Highway,2018,21162,"46,617",40000
Baltimore,Chevrolet,Silverado 1500,TRUCKS,Used,Silver,Jet Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 20 Highway,2020,21162,"8,377",46000
Baltimore,RAM,ProMaster,VANS,Used,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,,2021,21162,"4,035",54000
Baltimore,Hyundai,Elantra,SEDAN,Used,Black,Beige,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 37 Highway,2018,21215,"34,242",18489
Baltimore,Honda,Civic,SEDAN,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 38 Highway,2019,21215,"26,534",24789
Baltimore,INFINITI,Q50,SEDAN,Used,Black,Graphite,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,19 City / 26 Highway,2019,21215,"25,120",31689
Baltimore,Lexus,NX 300,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 28 Highway,2019,21215,"29,826",35689
Baltimore,Lexus,GX 460,SUV,Used,Gray,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 18 Highway,2018,21215,"34,876",42939
