City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Chicago,Subaru,Forester,SUV,Used,White,,Automatic,Gasoline,4-Cylinder,All wheel drive,26 City / 32 Highway,2018,60610,"28,885",28998
Chicago,BMW,640i Gran Coupe xDrive,SEDAN,Used,Gray,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 29 Highway,2015,60610,"57,178",34888
Chicago,BMW,228i xDrive Gran Coupe,SEDAN,Certified,White,Oyster,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2021,60610,"2,700",38988
Chicago,Audi,A7,HATCH,Used,Blue,,Automatic,Gasoline,6-Cylinder Supercharged,All wheel drive,20 City / 29 Highway,2016,60610,"32,915",39888
Chicago,BMW,530e xDrive,SEDAN,Certified,Blue,Black,Automatic,Hybrid Gas/Electric,Plug-in Hybrid,All wheel drive,27 City / 31 Highway,2018,60610,"35,965",41888
Chicago,Toyota,RAV4,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,27 City / 34 Highway,2019,60642,"25,882",28600
Chicago,Hyundai,Elantra,HATCH,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,24 City / 32 Highway,2016,60610,"12,770",16750
Chicago,Honda,Fit,HATCH,Certified,Blue,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,33 City / 40 Highway,2020,60610,"7,277",23118
Chicago,Buick,Encore,SUV,Used,Silver,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 30 Highway,2019,60610,"11,144",23432
Chicago,Honda,Civic,HATCH,Used,Black,Black/Ivory,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,31 City / 40 Highway,2017,60610,"31,866",25617
Chicago,Toyota,Corolla,SEDAN,Certified,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 38 Highway,2020,60659,"17,174",22995
Chicago,Chevrolet,Equinox,SUV,Used,,,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 32 Highway,2019,60610,"34,528",25998
Chicago,BMW,330i xDrive,SEDAN,Certified,Black,Cognac,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2018,60610,"40,549",34888
Chicago,BMW,430i Gran Coupe xDrive,HATCH,Certified,White,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2019,60610,"42,398",39888
