City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Columbus,Dodge,Charger,SEDAN,Used,Blue,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 25 Highway,2018,43017,"37,663",31389
Columbus,Toyota,Tundra,TRUCKS,Certified,Tan,Black,Automatic,Flexible Fuel,8-Cylinder,4 wheel drive,13 City / 17 Highway,2018,43017,"39,223",42745
Columbus,Acura,RDX,SUV,Used,Black,,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 28 Highway,2017,43213,"47,837",27998
Columbus,Ford,C-MAX,HATCH,Used,Red,Charcoal Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,41 City / 38 Highway,2017,43228,"44,356",16794
Columbus,Dodge,Challenger,COUPE,Used,Red,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 25 Highway,2018,43228,"8,010",39900
Columbus,Dodge,Challenger,COUPE,Used,Black,Black,Automatic,Gasoline,8-Cylinder Supercharged,2 wheel drive - rear,13 City / 22 Highway,2019,43228,"2,182",73900
Columbus,Nissan,Armada,SUV,Used,Orange,Charcoal,Automatic,Gasoline,8-Cylinder,4 wheel drive,12 City / 18 Highway,2012,43229,"82,446",16995
Columbus,Toyota,RAV4,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,27 City / 34 Highway,2019,43229,"14,944",29995
Columbus,Chevrolet,Silverado 1500,TRUCKS,Used,Gray,Jet Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,17 City / 22 Highway,2016,43229,"51,417",32995
Columbus,Jeep,Cherokee,SUV,Used,Red,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 24 Highway,2020,43229,"14,786",32995
Columbus,BMW,M2,COUPE,Used,Silver,Black/Blue Stitchin,Manual,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,18 City / 24 Highway,2021,43229,"8,714",67995
Columbus,Jeep,Wrangler,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,,2019,43228,"26,609",40874
Columbus,Jeep,Gladiator,TRUCKS,Used,Black,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 22 Highway,2020,43228,"8,497",55900
Columbus,Jeep,Gladiator,TRUCKS,Used,Black,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 22 Highway,2021,43228,"4,289",55900
Columbus,Honda,Civic,COUPE,Certified,Black,,Manual,Gasoline,4-Cylinder Turbo,2 wheel drive - front,28 City / 38 Highway,2019,43017,"27,653",27336
Columbus,Volkswagen,Tiguan,SUV,Used,White,Cornsilk Beige Leatherett,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 26 Highway,2015,43213,"33,887",20751
Columbus,Volkswagen,Tiguan,SUV,Certified,White,Titanium Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 27 Highway,2018,43213,"39,248",30634
Columbus,Audi,A4,SEDAN,Certified,White,Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 34 Highway,2018,43213,"13,167",36999
Columbus,Audi,A7,HATCH,Used,White,Atlas Beige/Dark Carpet,Automatic,Gasoline,6-Cylinder Supercharged,All wheel drive,20 City / 29 Highway,2016,43213,"53,436",38999
Columbus,Audi,S5,HATCH,Certified,Black,Gray,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2019,43213,"22,319",57999
Columbus,Toyota,C-HR,SUV,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 31 Highway,2018,43017,"30,173",21865
Columbus,Toyota,Corolla,SEDAN,Certified,Gray,Black,Manual,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 35 Highway,2019,43017,"23,694",22726
Columbus,Toyota,RAV4,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 30 Highway,2018,43017,"34,836",24349
Columbus,Toyota,Corolla,SEDAN,Certified,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,31 City / 40 Highway,2020,43017,"5,011",24815
Columbus,Toyota,RAV4,SUV,Certified,Silver,Ash,Automatic,Gasoline,4-Cylinder,All wheel drive,22 City / 28 Highway,2018,43017,"32,134",27959
Columbus,Toyota,Camry,SEDAN,Certified,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 39 Highway,2021,43017,"4,816",28177
Columbus,Toyota,Avalon,SEDAN,Certified,Silver,Harvest Beige,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 31 Highway,2019,43017,"10,386",34033
Columbus,Toyota,Highlander,SUV,Certified,Black,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2018,43017,"34,993",35249
Columbus,Honda,Accord,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2018,43228,"38,640",26000
Columbus,Chevrolet,Cruze,SEDAN,Used,Gray,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 40 Highway,2016,43110,"32,880",16498
Columbus,Chevrolet,Tahoe,SUV,Used,Red,Cocoa/Dune,Automatic,Gasoline,8-Cylinder,4 wheel drive,16 City / 22 Highway,2018,43110,"39,758",48050
Columbus,Chevrolet,Impala,SEDAN,Used,Red,Jet Black/Dark Titanium,Automatic,Flexible Fuel,6-Cylinder,2 wheel drive - front,19 City / 28 Highway,2015,43123,"60,379",21450
Columbus,Nissan,Altima,SEDAN,Used,Black,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,28 City / 39 Highway,2019,43123,"27,715",23450
Columbus,Jeep,Grand Cherokee,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 25 Highway,2018,43123,"30,492",36450
Columbus,INFINITI,Q50,SEDAN,Certified,Gray,Graphite,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,19 City / 26 Highway,2019,43219,"17,754",33998
Columbus,Toyota,RAV4,SUV,Certified,White,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,27 City / 34 Highway,2019,43232,"20,206",30000
Columbus,Jeep,Grand Cherokee,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 25 Highway,2018,43232,"32,357",31500
Columbus,Toyota,RAV4,SUV,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 33 Highway,2019,43232,"28,690",35568
Columbus,Honda,Accord,SEDAN,Certified,Red,Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2018,43228,"18,796",24936
Columbus,Honda,CR-V,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 32 Highway,2019,43228,"13,375",28389
Columbus,Lincoln,MKZ,SEDAN,Used,Black,Ebony / Touring White,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,17 City / 26 Highway,2017,43228,"39,058",30775
Columbus,Honda,Accord,SEDAN,Used,Off White,Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 32 Highway,2018,43228,"36,485",31636
Columbus,Nissan,Murano,SUV,Used,Black,Graphite,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 28 Highway,2019,43228,"7,707",31934
Columbus,Honda,CR-V,SUV,Used,Gray,Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,27 City / 33 Highway,2019,43228,"26,079",32311
Columbus,Chevrolet,Corvette,COUPE,Used,Black,Jet Black,Manual,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 25 Highway,2017,43081,"17,958",59900
Columbus,Toyota,Supra,COUPE,Used,Black,,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,24 City / 31 Highway,2020,43213,"17,106",55986
Columbus,Ford,Escape,SUV,Used,Burgundy,Camel,Automatic,Flexible Fuel,6-Cylinder,2 wheel drive - front,19 City / 25 Highway,2012,43228,"48,936",13280
Columbus,Ford,Mustang,COUPE,Used,Red,Ebony,,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,,2019,43228,"8,690",27941
Columbus,Chevrolet,Colorado,TRUCKS,Used,Gray,Jet Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 24 Highway,2017,43228,"18,067",33683
Columbus,Ford,F150,TRUCKS,Used,Red,Medium Earth Gray,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,16 City / 22 Highway,2018,43228,"26,895",41000
Columbus,Dodge,Challenger,COUPE,Used,Blue,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 24 Highway,2020,43228,"2,728",47888
Columbus,Jeep,Gladiator,TRUCKS,Used,Blue,Dark Saddle/Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 22 Highway,2020,43228,"14,891",53900
Columbus,Hyundai,Sonata,SEDAN,Used,White,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 35 Highway,2018,43125,"34,735",20938
Columbus,Hyundai,Venue,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 34 Highway,2020,43125,"12,624",21348
Columbus,Cadillac,SRX,SUV,Used,Brown,Light Titanium/Ebony Accents,Automatic,Gasoline,6-Cylinder,All wheel drive,16 City / 23 Highway,2014,43125,"32,020",23640
