City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Dallas,Mercedes-Benz,GLS 450,SUV,Used,White,Espresso Brown,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,17 City / 22 Highway,2017,75235,"37,562",49559
Dallas,Lincoln,Navigator,SUV,Used,Black,Ebony,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,16 City / 20 Highway,2021,75235,"4,762",88559
Dallas,Volvo,XC90,SUV,Used,Blue,Amber,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,19 City / 26 Highway,2019,75209,"26,127",56991
Dallas,Audi,Q8,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,17 City / 21 Highway,2020,75209,"5,060",76995
Dallas,Hyundai,Santa Fe,SUV,Used,White,Gray,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,18 City / 25 Highway,2016,75234,"59,105",19987
Dallas,RAM,1500,TRUCKS,Used,Blue,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,20 City / 25 Highway,2019,75234,"16,513",47454
Dallas,BMW,435i,COUPE,Used,Gray,Black,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,21 City / 31 Highway,2015,75244,"33,116",30991
Dallas,Chevrolet,Tahoe,SUV,Used,Black,Gone,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 23 Highway,2017,75244,"47,779",40991
Dallas,Ford,EcoSport,SUV,Used,Green,Medium Light Stone,Automatic,Gasoline,3-Cylinder Turbo,2 wheel drive - front,27 City / 29 Highway,2018,75041,"24,831",20500
Dallas,Ford,Escape,SUV,Used,Gold,Medium Light Stone,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 30 Highway,2018,75041,"11,639",25991
Dallas,Acura,MDX,SUV,Used,Gray,Ebony,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 27 Highway,2017,75243,"30,669",32789
Dallas,Jeep,Compass,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 31 Highway,2018,75062,"37,831",24934
Dallas,Jeep,Renegade,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 30 Highway,2021,75062,"3,433",27906
Dallas,Dodge,Charger,SEDAN,Used,Red,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 30 Highway,2019,75062,"22,093",28902
Dallas,RAM,1500,TRUCKS,Used,Blue,Diesel Gray/Black,Automatic,Flexible Fuel,6-Cylinder,4 wheel drive,16 City / 23 Highway,2018,75062,"19,702",35878
Dallas,Jeep,Grand Cherokee,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 25 Highway,2019,75062,"22,810",39909
Dallas,Jeep,Grand Cherokee,SUV,Used,Red,Light Frost/Brown,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 26 Highway,2018,75062,"27,205",39934
Dallas,Tesla,Model 3,SEDAN,Used,Red,Black,Single-Speed,Electric,Electric,2 wheel drive - rear,,2019,75001,"18,900",43958
Dallas,Toyota,Camry,SEDAN,Used,Silver,Ash,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 39 Highway,2019,75234,"9,664",25795
Dallas,Toyota,Corolla,SEDAN,Used,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,31 City / 40 Highway,2021,75234,"8,358",25883
Dallas,Honda,CR-V,SUV,Used,Off White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 33 Highway,2019,75234,"15,734",31879
Dallas,Toyota,RAV4,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 35 Highway,2021,75234,"4,535",31972
Dallas,Honda,Odyssey,VANS,Used,Silver,Beige,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 28 Highway,2020,75234,"19,399",41440
Dallas,Toyota,Highlander,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,21 City / 27 Highway,2019,75234,"23,779",42999
Dallas,Toyota,4Runner,SUV,Used,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,16 City / 19 Highway,2021,75234,"9,605",43499
Dallas,Lexus,ES 350,SEDAN,Used,Silver,Circuit Red,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 32 Highway,2021,75234,"8,509",50959
Dallas,Toyota,Tundra,TRUCKS,Used,Brown,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,13 City / 17 Highway,2021,75234,"8,320",53999
Dallas,Mercedes-Benz,E 450,CONVERT,Used,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,20 City / 27 Highway,2019,75235,"32,798",65559
Dallas,MINI,Cooper,CONVERT,Used,Blue,Black Pearl,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 33 Highway,2019,75209,"5,804",38491
Dallas,Land Rover,Range Rover Sport,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder Supercharged,4 wheel drive,17 City / 23 Highway,2017,75209,"65,853",50991
Dallas,INFINITI,Q50,SEDAN,Used,Black,Wheat,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,20 City / 29 Highway,2019,75209,"29,700",31981
Dallas,Lincoln,Nautilus,SUV,Used,White,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,21 City / 26 Highway,2020,75209,"19,965",48881
Dallas,Mercedes-Benz,C 63 AMG,SEDAN,Used,White,Black,Automatic,Gasoline,8-Cylinder Turbo,2 wheel drive - rear,18 City / 24 Highway,2017,75209,"48,170",49981
Dallas,Chrysler,Pacifica,VANS,Used,White,Caramel/Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,29 City / 30 Highway,2021,75209,"4,185",54481
Dallas,Ford,Expedition,SUV,Used,Silver,Ebony,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,17 City / 23 Highway,2021,75209,"7,149",65481
Dallas,BMW,650i,CONVERT,Used,White,Tan,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 23 Highway,2010,75220,"100,800",16899
Dallas,Mercedes-Benz,S 550,SEDAN,Used,Black,Tan,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 23 Highway,2011,75220,"65,726",25899
Dallas,Ford,F150,TRUCKS,Used,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,19 City / 25 Highway,2016,75006,"57,716",31000
Dallas,Ford,Edge,SUV,Used,Blue,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,21 City / 29 Highway,2021,75006,"8,395",33000
Dallas,GMC,Sierra 1500,TRUCKS,Used,Black,Cocoa/Dune,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 22 Highway,2016,75006,"54,110",39500
Dallas,Ford,F150,TRUCKS,Certified,Silver,Black/Medium Dark Slate,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,20 City / 24 Highway,2021,75006,"2,788",60000
Dallas,Ford,F150,TRUCKS,Used,Red,Java,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,15 City / 21 Highway,2020,75006,"10,713",65000
Dallas,RAM,1500,TRUCKS,Used,Silver,Diesel Gray/Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 21 Highway,2018,75080,"28,899",36999
Dallas,Chrysler,Pacifica,VANS,Used,Red,Black/Alloy/Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 28 Highway,2019,75080,"25,000",38623
Dallas,RAM,2500,TRUCKS,Used,Gray,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,,2021,75080,"8,842",66999
Dallas,Mitsubishi,Outlander Sport,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,24 City / 30 Highway,2020,75150,"9,547",21994
Dallas,Nissan,Altima,SEDAN,Certified,Black,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 39 Highway,2019,75150,"25,453",22174
Dallas,Lincoln,MKZ,SEDAN,Used,Off White,Cappuccino,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 33 Highway,2016,75150,"32,323",23842
Dallas,Nissan,Rogue Sport,SUV,Certified,Gray,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 32 Highway,2020,75150,"18,874",23997
Dallas,Nissan,Altima,SEDAN,Certified,Silver,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 37 Highway,2021,75150,"7,863",31974
