City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Denver,Volkswagen,Tiguan,SUV,Certified,Silver,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2020,80223,"14,224",27092
Denver,Volkswagen,Tiguan,SUV,Certified,White,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 29 Highway,2019,80223,"24,553",29683
Denver,Volkswagen,GTI,HATCH,Certified,Black,Titan Black,Manual,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 33 Highway,2018,80223,"23,374",29951
Denver,BMW,X3,SUV,Used,Blue,Brown,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,19 City / 26 Highway,2017,80246,"37,425",32997
Denver,Toyota,Tacoma,TRUCKS,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 22 Highway,2018,80221,"26,481",40999
Denver,Volkswagen,Jetta,SEDAN,Used,Gray,Titan Black,Manual,Gasoline,4-Cylinder Turbo,2 wheel drive - front,28 City / 40 Highway,2018,80223,"38,975",17287
Denver,Volkswagen,Passat,SEDAN,Certified,Gray,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 36 Highway,2018,80223,"37,238",19870
Denver,Volkswagen,Tiguan,SUV,Certified,Red,Storm Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 27 Highway,2018,80223,"36,277",26001
Denver,Subaru,Outback,SUV,Used,Gold,Warm Ivory,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 32 Highway,2019,80223,"27,968",27117
Denver,Volkswagen,Tiguan,SUV,Certified,Blue,Storm Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 27 Highway,2018,80223,"30,133",27324
Denver,Volkswagen,Tiguan,SUV,Certified,Black,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 27 Highway,2018,80223,"57,300",27883
Denver,Volkswagen,Tiguan,SUV,Certified,White,Storm Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 29 Highway,2019,80223,"20,525",29295
Denver,Volkswagen,Tiguan,SUV,Certified,Black,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2020,80223,"18,922",33645
Denver,Jeep,Wrangler,SUV,Used,White,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 23 Highway,2018,80223,"33,820",36548
Denver,Audi,A5,CONVERT,Used,White,Atlas Beige,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 34 Highway,2018,80223,"31,491",42865
Denver,Lexus,GX 460,SUV,Used,White,Ecru,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 18 Highway,2018,80223,"33,967",46018
Denver,Toyota,Tundra,TRUCKS,Used,Gray,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,13 City / 17 Highway,2018,80223,"39,455",48839
Denver,Subaru,Crosstrek,SUV,Used,White,Ivory,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 33 Highway,2014,80123,"65,288",18801
Denver,Lexus,NX 300,SUV,Certified,White,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 27 Highway,2020,80111,"10,574",43795
Denver,BMW,M4,COUPE,Used,Gray,Black,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,17 City / 23 Highway,2020,80246,"11,409",74999
Denver,Mercedes-Benz,GLA 250,SUV,Used,Black,Beige,Automatic,Flexible Fuel,4-Cylinder Turbo,All wheel drive,23 City / 31 Highway,2017,80246,"30,873",29999
Denver,Chevrolet,Corvette,COUPE,Used,Gray,Jet Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,,2017,80033,"5,587",59699
Denver,Toyota,Prius,HATCH,Certified,Blue,Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,All wheel drive,52 City / 48 Highway,2020,80221,"10,927",25999
Denver,Toyota,Camry,SEDAN,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,29 City / 41 Highway,2020,80221,"5,556",26999
Denver,Subaru,Outback,SUV,Used,Red,Slate Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 27 Highway,2017,80221,"27,447",29999
Denver,Volkswagen,Tiguan,SUV,Certified,Black,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 27 Highway,2018,80214,"19,355",26599
Denver,Kia,Soul,HATCH,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 31 Highway,2015,80221,"43,688",17998
Denver,Honda,Civic,HATCH,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,31 City / 40 Highway,2019,80221,"10,931",25998
Denver,Cadillac,ATS,SEDAN,Used,Black,Jet Black With Jet Black Accen,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 30 Highway,2017,80221,"39,587",27998
Denver,Jeep,Cherokee,SUV,Used,Silver,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 24 Highway,2019,80221,"29,152",32998
Denver,Acura,MDX,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 27 Highway,2018,80221,"22,555",34998
Denver,Mercedes-Benz,CLA 250,SEDAN,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 32 Highway,2019,80221,"25,065",34998
Denver,Land Rover,Range Rover Evoque,SUV,Used,Gray,Ivory/Ivory,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,21 City / 29 Highway,2017,80221,"34,475",35998
Denver,Tesla,Model 3,SEDAN,Used,Red,Black,Single-Speed,Electric,Electric,All wheel drive,,2021,80221,"3,485",58998
Denver,Lincoln,MKZ,SEDAN,Used,Red,Charcoal Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,38 City / 37 Highway,2014,80229,"54,773",18995
Denver,Kia,Sportage,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,19 City / 26 Highway,2014,80223,"103,080",12689
Denver,Volkswagen,Jetta,SEDAN,Certified,Gray,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 33 Highway,2017,80223,"70,319",19920
Denver,Volkswagen,Jetta,SEDAN,Certified,Gray,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 39 Highway,2019,80223,"20,699",21058
Denver,Volkswagen,Jetta,SEDAN,Certified,Black,Storm Gray/Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 39 Highway,2019,80223,"14,530",23198
Denver,Volkswagen,Jetta,SEDAN,Certified,White,Storm Gray/Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 39 Highway,2019,80223,"22,512",24414
Denver,Lexus,NX 200t,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 27 Highway,2016,80223,"62,392",27198
Denver,Volkswagen,Passat,SEDAN,Certified,White,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 34 Highway,2020,80223,"14,683",28620
Denver,Volkswagen,Tiguan,SUV,Certified,White,Storm Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 29 Highway,2019,80223,"15,462",29800
Denver,Mercedes-Benz,GLE 350,SUV,Used,Black,Black,Automatic,Flexible Fuel,6-Cylinder,All wheel drive,18 City / 22 Highway,2016,80223,"72,666",29969
Denver,Volkswagen,Tiguan,SUV,Certified,Blue,Storm Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 29 Highway,2019,80223,"22,227",29980
Denver,Volkswagen,Tiguan,SUV,Certified,Black,Golden Oak & Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 29 Highway,2019,80223,"17,493",30835
Denver,Land Rover,Range Rover Evoque,SUV,Used,,,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,21 City / 29 Highway,2017,80223,"51,312",32920
