City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Detroit,Ford,F150,TRUCKS,Used,Black,Black,Automatic,Diesel,6-Cylinder Turbo,4 wheel drive,19 City / 24 Highway,2018,48220,"31,940",45000
Detroit,Jeep,Compass,SUV,Used,Blue,Black,Automatic,Gasoline,4-Cylinder,4 wheel drive,22 City / 30 Highway,2019,48180,"18,760",25995
Detroit,Jeep,Cherokee,SUV,Used,Green,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 24 Highway,2019,48180,"24,693",28669
Detroit,Jeep,Cherokee,SUV,Certified,White,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 24 Highway,2020,48180,"14,035",31995
Detroit,Jeep,Cherokee,SUV,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,19 City / 27 Highway,2019,48180,"8,597",31995
Detroit,Chrysler,Pacifica,VANS,Used,Gray,Black/Alloy/Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 28 Highway,2019,48180,"13,911",37594
Detroit,Chrysler,Pacifica,VANS,Certified,Gray,Alloy/Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 28 Highway,2019,48180,"14,708",37594
Detroit,RAM,1500,TRUCKS,Used,Gray,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,19 City / 24 Highway,2019,48180,"16,599",39558
Detroit,Ford,Flex,SUV,Used,Burgundy,Charcoal Black,Automatic,Gasoline,6-Cylinder,All wheel drive,16 City / 22 Highway,2019,48124,"24,674",31000
Detroit,GMC,Acadia,SUV,Used,Silver,Ebony,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 25 Highway,2017,48220,"21,700",31495
Detroit,Cadillac,ATS,SEDAN,Used,White,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 30 Highway,2017,48210,"41,661",24600
Detroit,Ford,Fusion,SEDAN,Used,Red,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 34 Highway,2020,48124,"19,638",20980
Detroit,Ford,Edge,SUV,Certified,Burgundy,Ebony,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 28 Highway,2019,48124,"16,076",27980
Detroit,Nissan,Altima,SEDAN,Certified,Blue,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 39 Highway,2020,48084,"9,562",21000
Detroit,Ford,Edge,SUV,Used,Red,Charcoal Black/Silver Smoke,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 27 Highway,2014,48124,"66,150",16446
Detroit,Chevrolet,Tahoe,SUV,Used,Gray,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 21 Highway,2019,48124,"22,479",46173
Detroit,Ford,Fusion,SEDAN,Certified,Blue,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 34 Highway,2020,48362,"6,574",23512
Detroit,Ford,Escape,SUV,Used,Orange,Chromite Gray/Charcoal Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 30 Highway,2019,48362,"11,224",23930
Detroit,Chevrolet,Trax,SUV,Certified,Silver,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 31 Highway,2019,48067,"26,863",20500
Detroit,Chevrolet,Equinox,SUV,Certified,White,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 32 Highway,2019,48067,"24,404",24000
Detroit,Honda,Fit,HATCH,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,33 City / 40 Highway,2015,48220,"58,101",14875
Detroit,Honda,Fit,HATCH,Certified,Off White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,33 City / 40 Highway,2019,48220,"24,214",20600
Detroit,Honda,Accord,SEDAN,Used,Blue,Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2019,48220,"26,338",24450
