City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Fort Worth,Honda,Accord,SEDAN,Used,Off White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 32 Highway,2020,76053,"13,000",34495
Fort Worth,Hyundai,Santa Fe,SUV,Certified,Blue,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 29 Highway,2020,76017,"14,397",35500
Fort Worth,Nissan,Titan,TRUCKS,Used,Red,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 22 Highway,2020,76017,"14,368",45891
Fort Worth,Ford,F150,TRUCKS,Used,Black,Steel Gray,Automatic,Flexible Fuel,8-Cylinder,2 wheel drive - rear,15 City / 21 Highway,2013,76119,"40,958",19995
Fort Worth,Ford,Ranger,TRUCKS,Used,Black,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,21 City / 26 Highway,2021,76119,"8,285",37995
Fort Worth,Ford,F150,TRUCKS,Used,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,15 City / 18 Highway,2020,76119,"9,512",74495
Fort Worth,Honda,CR-V,SUV,Used,Blue,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 32 Highway,2016,76180,"51,078",27200
Fort Worth,Honda,Accord,SEDAN,Used,Off White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2018,76180,"28,440",29868
Fort Worth,Honda,Accord,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2020,76180,"18,280",32445
Fort Worth,Honda,Accord,SEDAN,Certified,Silver,Ivory,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 32 Highway,2020,76180,"11,914",37362
Fort Worth,Lexus,NX 300,SUV,Used,Red,F Sport Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 28 Highway,2020,76180,"11,863",45099
Fort Worth,Genesis,G70,SEDAN,Used,Red,Tan,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 28 Highway,2019,76132,"11,800",36995
Fort Worth,Ford,Explorer,SUV,Used,Red,Sandstone,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,21 City / 28 Highway,2020,76132,"7,958",37595
Fort Worth,Mercedes-Benz,C 300,SEDAN,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24 City / 33 Highway,2018,76132,"22,919",35991
Fort Worth,Audi,S5,HATCH,Used,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2019,76132,"23,073",57991
Fort Worth,Mitsubishi,Outlander,SUV,Used,Red,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 30 Highway,2020,76108,"17,800",27701
Fort Worth,Ford,Edge,SUV,Used,White,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,21 City / 29 Highway,2021,76108,"1,138",35201
Fort Worth,Toyota,Tacoma,TRUCKS,Used,Gray,Graphite,,Gasoline,6-Cylinder,4 wheel drive,,2016,76108,"31,216",37601
Fort Worth,Ford,F150,TRUCKS,Used,White,Medium Light Camel,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,18 City / 23 Highway,2018,76108,"32,793",38902
Fort Worth,Ford,F250,TRUCKS,Used,Red,Black,Automatic,Diesel,8-Cylinder Turbo,4 wheel drive,,2015,76108,"47,104",55431
Fort Worth,Hyundai,Elantra,SEDAN,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 37 Highway,2019,76180,"8,509",22997
Fort Worth,Hyundai,Venue,SUV,Certified,Blue,Denim,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 34 Highway,2020,76180,"18,757",24991
Fort Worth,Toyota,4Runner,SUV,Used,,Black/Graphite,Automatic,Gasoline,6-Cylinder,4 wheel drive,16 City / 19 Highway,2021,76180,"7,588",51997
