City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Houston,Chevrolet,Trax,SUV,Used,Black,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 31 Highway,2019,77054,"26,144",19999
Houston,Chevrolet,Camaro,COUPE,Used,Black,Jet Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 29 Highway,2019,77054,"24,568",28999
Houston,Ford,F150,TRUCKS,Used,Black,Gray,Automatic,Flexible Fuel,8-Cylinder,4 wheel drive,18 City / 23 Highway,2018,77054,"50,641",35999
Houston,Audi,Q5,SUV,Used,White,Nougat Brown,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 27 Highway,2019,77007,"25,352",44500
Houston,BMW,330e,SEDAN,Used,Black,Black,Automatic,Hybrid Gas/Electric,Plug-in Hybrid,2 wheel drive - rear,28 City / 34 Highway,2018,77002,"35,583",31099
Houston,BMW,530i,SEDAN,Used,White,Canberra Beige/Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24 City / 34 Highway,2018,77002,"38,110",37351
Houston,BMW,550i,SEDAN,Used,Black,Ivory White/Black,Automatic,Gasoline,8-Cylinder Turbo,2 wheel drive - rear,17 City / 25 Highway,2016,77002,"21,605",37664
Houston,BMW,X5,SUV,Used,Gray,Ivory White/Black,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,18 City / 25 Highway,2018,77002,"39,218",40924
Houston,BMW,440i Gran Coupe,HATCH,Certified,Black,Night Blue/Dark Oyster,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,21 City / 32 Highway,2019,77002,"27,110",43221
Houston,BMW,440i Gran Coupe,HATCH,Used,Gray,Black,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,21 City / 32 Highway,2019,77002,"12,878",46811
Houston,BMW,X5,SUV,Certified,Blue,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 26 Highway,2019,77002,"20,115",59633
Houston,Volkswagen,Atlas,SUV,Used,Black,White,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,17 City / 24 Highway,2019,77098,"16,424",36999
Houston,RAM,1500,TRUCKS,Used,Blue,Diesel Gray/Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 22 Highway,2018,77054,"38,376",33491
Houston,Tesla,Model Y,SUV,Used,White,Beige,Single-Speed,Electric,Electric,All wheel drive,,2021,77054,"6,620",67991
Houston,INFINITI,G37,CONVERT,Used,Silver,Stone,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,17 City / 25 Highway,2010,77054,"90,312",13470
Houston,Toyota,RAV4,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 35 Highway,2019,77054,"14,950",29981
Houston,Toyota,RAV4,SUV,Certified,White,Blk Fabric,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 35 Highway,2021,77054,"4,026",34101
Houston,Toyota,Tundra,TRUCKS,Used,Black,Graphite,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,13 City / 18 Highway,2015,77054,"45,570",35843
Houston,Toyota,Camry,SEDAN,Used,Silver,Black/Red,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 33 Highway,2020,77054,"5,523",37961
Houston,Toyota,4Runner,SUV,Used,Blue,Sand Beige,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,17 City / 21 Highway,2019,77054,"23,970",45641
Houston,Toyota,4Runner,SUV,Used,Silver,Black Graphite,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 20 Highway,2018,77037,"34,979",44881
Houston,Ford,EcoSport,SUV,Used,Red,Ebony Black,Automatic,Gasoline,3-Cylinder Turbo,2 wheel drive - front,27 City / 29 Highway,2019,77054,"22,144",20998
Houston,Chevrolet,Equinox,SUV,Used,Black,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 31 Highway,2020,77054,"7,466",27995
Houston,RAM,1500,TRUCKS,Used,Red,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,20 City / 25 Highway,2019,77054,"5,682",37998
Houston,Toyota,Tundra,TRUCKS,Used,Blue,,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,13 City / 17 Highway,2021,77054,"5,477",46995
Houston,Lexus,CT 200h,HATCH,Used,Silver,,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,43 City / 40 Highway,2015,77007,"40,425",24700
Houston,Mercedes-Benz,C 43 AMG,COUPE,Used,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2018,77598,"27,617",48488
Houston,Audi,A4,SEDAN,Used,Blue,Atlas Beige/Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 37 Highway,2018,77002,"48,409",29484
Houston,INFINITI,Q60,COUPE,Used,Black,Light Gray,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,19 City / 28 Highway,2018,77002,"31,592",37176
