City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Indianapolis,Nissan,Maxima,SEDAN,Used,White,Charcoal,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,21 City / 30 Highway,2018,46219,"36,423",31231
Indianapolis,Hyundai,Veloster,HATCH,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 32 Highway,2016,46219,"45,062",17197
Indianapolis,BMW,740Li xDrive,SEDAN,Used,Black,Oyster,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,19 City / 28 Highway,2013,46219,"78,396",21486
Indianapolis,Hyundai,Tucson,SUV,Used,Red,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 28 Highway,2021,46219,"2,342",29871
Indianapolis,Dodge,Charger,SEDAN,Used,Black,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 30 Highway,2020,46219,"10,052",30383
Indianapolis,Hyundai,Tucson,SUV,Used,Red,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,21 City / 26 Highway,2020,46219,"15,436",31223
Indianapolis,Dodge,Charger,SEDAN,Used,Red,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 27 Highway,2018,46219,"38,402",31763
Indianapolis,Ford,Explorer,SUV,Used,Silver,Ebony Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,17 City / 24 Highway,2018,46219,"25,741",33211
Indianapolis,Hyundai,Kona,SUV,Used,Red,Black,Single-Speed,Electric,Electric,2 wheel drive - front,,2020,46219,"1,555",35240
Indianapolis,Jeep,Wrangler,SUV,Used,Silver,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,16 City / 20 Highway,2018,46219,"37,991",35470
Indianapolis,Kia,Sorento,SUV,Used,Silver,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 24 Highway,2019,46219,"4,235",36692
Indianapolis,Kia,Sorento,SUV,Used,Red,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 24 Highway,2020,46219,"4,828",38807
Indianapolis,Hyundai,Santa Fe,SUV,Used,Red,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 28 Highway,2021,46219,"8,450",39657
Indianapolis,Hyundai,Santa Fe,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 28 Highway,2022,46219,"1,225",42967
Indianapolis,Toyota,Venza,SUV,Used,Blue,Java/Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,All wheel drive,40 City / 37 Highway,2021,46219,"6,811",43300
Indianapolis,GMC,Acadia,SUV,Used,White,Cocoa/ Shale,Automatic,Gasoline,6-Cylinder,All wheel drive,17 City / 25 Highway,2019,46168,"27,186",42325
Indianapolis,Chevrolet,Malibu,SEDAN,Used,Silver,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 36 Highway,2016,46227,"84,772",16120
Indianapolis,Dodge,Challenger,COUPE,Used,Yellow,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 25 Highway,2017,46038,"9,601",35500
Indianapolis,Hyundai,Elantra,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 40 Highway,2020,46219,"17,376",21156
Indianapolis,Hyundai,Sonata,SEDAN,Used,Blue,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 33 Highway,2019,46219,"33,915",25042
Indianapolis,Chrysler,300,SEDAN,Used,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 30 Highway,2018,46219,"31,338",26052
Indianapolis,Toyota,RAV4,SUV,Used,Black,Ash,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 30 Highway,2018,46219,"37,973",26227
Indianapolis,Chevrolet,Colorado,TRUCKS,Used,Orange,Jet Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 24 Highway,2015,46219,"81,836",27093
Indianapolis,Hyundai,Santa Fe,SUV,Used,Black,Espresso/Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,20 City / 25 Highway,2019,46219,"33,878",27126
Indianapolis,Kia,Sorento,SUV,Used,Black,Satin Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 29 Highway,2019,46219,"32,275",28148
Indianapolis,Kia,Sorento,SUV,Used,White,Satin Black,Automatic,Gasoline,4-Cylinder,All wheel drive,21 City / 26 Highway,2019,46219,"30,092",28241
Indianapolis,Honda,Accord,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2019,46219,"43,235",28289
Indianapolis,Toyota,RAV4,SUV,Used,Blue,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 35 Highway,2019,46219,"38,052",28339
Indianapolis,Chrysler,300,SEDAN,Used,White,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 27 Highway,2018,46219,"50,513",29269
Indianapolis,Hyundai,Tucson,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,21 City / 26 Highway,2021,46219,"14,661",29957
Indianapolis,Hyundai,Sonata,SEDAN,Used,Yellow,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 36 Highway,2020,46219,"19,272",30363
Indianapolis,Volkswagen,Arteon,SEDAN,Used,Red,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2019,46219,"4,783",30964
Indianapolis,Hyundai,Sonata,SEDAN,Used,Red,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 37 Highway,2021,46219,"6,165",31578
Indianapolis,Honda,Accord,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 34 Highway,2019,46219,"13,768",32545
Indianapolis,Hyundai,Tucson,SUV,Used,Blue,Gray,Automatic,Gasoline,4-Cylinder,All wheel drive,24 City / 29 Highway,2022,46219,"1,299",35164
Indianapolis,Kia,Sorento,SUV,Used,White,Stone Beige,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 24 Highway,2019,46219,"38,273",35980
Indianapolis,MAZDA,CX-5,SUV,Used,Gray,Red,Automatic,Gasoline,4-Cylinder,All wheel drive,24 City / 30 Highway,2021,46219,"8,517",36213
Indianapolis,Hyundai,Santa Fe,SUV,Used,Blue,Gray,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,18 City / 23 Highway,2019,46219,"24,183",36915
Indianapolis,Subaru,Outback,SUV,Used,Black,Brown,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 30 Highway,2020,46219,"26,823",39681
Indianapolis,Hyundai,Palisade,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 24 Highway,2020,46219,"14,391",44122
Indianapolis,Hyundai,Palisade,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 24 Highway,2020,46219,"23,959",49849
Indianapolis,Jeep,Grand Cherokee L,SUV,Used,Black,Global Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 25 Highway,2021,46219,"4,876",49873
Indianapolis,Hyundai,Palisade,SUV,Used,White,Beige,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 24 Highway,2020,46219,"13,882",51404
Indianapolis,Genesis,GV80,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 25 Highway,2021,46219,"8,213",63129
Indianapolis,Chevrolet,Equinox,SUV,Used,Gray,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 30 Highway,2018,46240,"19,566",31490
Indianapolis,Honda,Civic,SEDAN,Used,Silver,Other,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,32 City / 42 Highway,2019,46240,"19,652",25981
Indianapolis,Honda,Civic,HATCH,Used,Gray,Other,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,31 City / 40 Highway,2021,46240,"8,553",28991
Indianapolis,Honda,CR-V,SUV,Used,Gray,Other,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,27 City / 32 Highway,2020,46240,"17,605",37461
Indianapolis,RAM,2500,TRUCKS,Used,Silver,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,,2019,46240,"28,995",59491
Indianapolis,Chevrolet,Traverse,SUV,Used,Black,Jet Black,Automatic,Gasoline,6-Cylinder,All wheel drive,17 City / 25 Highway,2019,46240,"26,733",46281
Indianapolis,Ford,Ranger,TRUCKS,Used,Black,Ebony,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,20 City / 24 Highway,2019,46074,"20,243",34995
Indianapolis,Hyundai,Sonata,SEDAN,Used,White,Dark Gray,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,50 City / 54 Highway,2021,46219,"6,915",32305
Indianapolis,Chevrolet,Silverado 1500,TRUCKS,Used,Silver,Jet Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,16 City / 21 Highway,2020,46219,"15,293",54374
Indianapolis,Dodge,Charger,SEDAN,Used,Black,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 27 Highway,2018,46168,"23,598",32000
Indianapolis,Chevrolet,Colorado,TRUCKS,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 24 Highway,2017,46168,"31,192",32700
Indianapolis,GMC,Yukon,SUV,Used,Blue,Jet Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,16 City / 22 Highway,2017,46168,"41,380",42000
Indianapolis,Ford,F150,TRUCKS,Used,Black,Medium Earth Gray,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,18 City / 23 Highway,2020,46168,"9,803",48000
Indianapolis,Dodge,Journey,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,19 City / 25 Highway,2018,46240,"49,778",19500
Indianapolis,Honda,Civic,SEDAN,Used,Off White,Black,Manual,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 36 Highway,2020,46240,"9,942",30000
Indianapolis,Honda,CR-V,SUV,Used,Green,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,27 City / 33 Highway,2018,46240,"48,796",31000
Indianapolis,Ford,Explorer,SUV,Used,Red,Ebony,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,18 City / 24 Highway,2020,46240,"19,251",52000
