City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Jacksonville,Chevrolet,Silverado 1500,TRUCKS,Used,Blue,Jet Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,16 City / 21 Highway,2019,32225,"24,147",37588
Jacksonville,Ford,F150,TRUCKS,Certified,White,Medium Earth Gray,Automatic,Flexible Fuel,6-Cylinder,2 wheel drive - rear,19 City / 25 Highway,2019,32210,"21,990",35559
Jacksonville,Lexus,GX 460,SUV,Used,Black,Ecru,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 19 Highway,2020,32225,"17,126",56991
Jacksonville,Hyundai,Sonata,SEDAN,Certified,Blue,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 33 Highway,2019,32225,"39,521",21356
Jacksonville,Nissan,Titan,TRUCKS,Certified,Black,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 20 Highway,2021,32225,"12,854",54487
Jacksonville,GMC,Sierra 1500,TRUCKS,Used,White,Dark Walnut/Slate,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,17 City / 23 Highway,2020,32205,"27,691",50495
Jacksonville,MAZDA,CX-9,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 28 Highway,2019,32220,"19,158",32000
Jacksonville,Honda,Civic,SEDAN,Certified,Gray,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 38 Highway,2020,32256,"1,745",22424
Jacksonville,Honda,CR-V,SUV,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,28 City / 34 Highway,2020,32256,"10,957",28776
Jacksonville,Dodge,Challenger,COUPE,Used,Red,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 30 Highway,2020,32256,"6,767",33498
Jacksonville,Chevrolet,Blazer,SUV,Used,Gray,Jet Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 26 Highway,2019,32256,"28,580",41795
Jacksonville,Ford,Fusion,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 33 Highway,2016,32210,"29,706",20297
Jacksonville,Audi,A5,HATCH,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 34 Highway,2018,32244,"29,019",37988
Jacksonville,BMW,428i,CONVERT,Used,Blue,Venetian Beige,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,23 City / 34 Highway,2016,32244,"43,423",30991
Jacksonville,Ford,Explorer,SUV,Used,Gray,Ebony Black W/Fire Orange,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,17 City / 24 Highway,2019,32244,"23,434",34492
Jacksonville,Ford,Expedition,SUV,Used,,Ebony,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,15 City / 20 Highway,2017,32244,"31,684",37851
Jacksonville,Ford,F150,TRUCKS,Used,White,Black,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,19 City / 25 Highway,2019,32244,"25,685",44499
Jacksonville,Ford,EcoSport,SUV,Used,Green,Ebony Black,Automatic,Gasoline,4-Cylinder,4 wheel drive,23 City / 29 Highway,2021,32210,"3,000",25463
Jacksonville,Ford,Explorer,SUV,Used,Silver,Ebony Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,16 City / 23 Highway,2017,32210,"58,659",28392
Jacksonville,Dodge,Charger,SEDAN,Used,Silver,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 24 Highway,2019,32210,"29,200",44272
Jacksonville,Ford,F150,TRUCKS,Used,Red,Black,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,18 City / 23 Highway,2019,32210,"39,019",45642
Jacksonville,Hyundai,Elantra,SEDAN,Certified,Blue,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 40 Highway,2020,32210,"5,866",27000
Jacksonville,Hyundai,Equus,SEDAN,Used,Gray,Jet Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 23 Highway,2016,32210,"52,341",27107
Jacksonville,Chevrolet,Colorado,TRUCKS,Used,Gray,Jet Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,16 City / 18 Highway,2021,32210,"7,721",47000
Jacksonville,Kia,Soul,HATCH,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 33 Highway,2021,32225,"2,879",21995
Jacksonville,Lexus,RC 200t,COUPE,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,22 City / 32 Highway,2016,32225,"32,788",32875
Jacksonville,Chevrolet,SS,SEDAN,Used,Green,Jet Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,14 City / 21 Highway,2015,32225,"58,760",40875
Jacksonville,Lexus,RX 350,SUV,Used,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 27 Highway,2020,32225,"15,216",51991
Jacksonville,Lexus,LX 570,SUV,Used,Gray,Cabernet,Automatic,Gasoline,8-Cylinder,4 wheel drive,12 City / 16 Highway,2020,32225,"19,001",92749
Jacksonville,Audi,RS 5,CONVERT,Used,Gray,Black,Automatic,Gasoline,8-Cylinder,All wheel drive,16 City / 22 Highway,2015,32207,"38,765",51985
Jacksonville,Maserati,Quattroporte,SEDAN,Used,Blue,Brown,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,16 City / 23 Highway,2018,32207,"26,197",58985
Jacksonville,Hyundai,Kona,SUV,Certified,Red,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 33 Highway,2019,32225,"9,435",24503
Jacksonville,Toyota,RAV4,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 30 Highway,2018,32225,"23,542",27297
Jacksonville,Ford,Ranger,TRUCKS,Used,White,Ebony,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,20 City / 24 Highway,2019,32225,"26,000",38390
Jacksonville,Mercedes-Benz,CLA 250,SEDAN,Certified,Black,Beige,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 37 Highway,2018,32224,"31,441",31991
Jacksonville,Mercedes-Benz,C 300,SEDAN,Certified,White,Silk Beige/Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24 City / 33 Highway,2018,32224,"36,759",34791
Jacksonville,Mercedes-Benz,C 300,SEDAN,Certified,White,Beige,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24 City / 35 Highway,2020,32224,"19,930",39991
Jacksonville,Mercedes-Benz,GLS 550,SUV,Used,Black,Black,Automatic,Gasoline,8-Cylinder Turbo,All wheel drive,14 City / 18 Highway,2017,32224,"49,505",53991
Jacksonville,Lincoln,Continental,SEDAN,Used,White,Cappuccino,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - front,18 City / 27 Highway,2018,32244,"30,965",38900
Jacksonville,Lexus,ES 350,SEDAN,Used,Silver,Chateau,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 33 Highway,2019,32244,"10,095",40870
Jacksonville,Mercedes-Benz,SL 550,CONVERT,Used,Black,Black,Automatic,Gasoline,8-Cylinder Turbo,2 wheel drive - rear,18 City / 24 Highway,2014,32244,"35,282",47880
Jacksonville,Lexus,GX 460,SUV,Used,White,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 19 Highway,2021,32244,"6,148",59980
Jacksonville,Chevrolet,Silverado 1500,TRUCKS,Used,Black,Jet Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 23 Highway,2015,32256,"61,723",31990
Jacksonville,MINI,Cooper Roadster,CONVERT,Used,Red,Carbon Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 34 Highway,2012,32254,"84,798",11900
Jacksonville,Hyundai,Elantra,SEDAN,Used,Silver,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 38 Highway,2014,32254,"76,959",12490
Jacksonville,Ford,Escape,SUV,Used,Silver,Medium Light Stone,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,22 City / 29 Highway,2014,32254,"111,917",12927
Jacksonville,Ford,F150,TRUCKS,Used,Blue,Steel Gray,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,15 City / 21 Highway,2013,32254,"86,466",24879
Jacksonville,RAM,1500,TRUCKS,Used,Gray,Black/Diesel Gray,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,14 City / 20 Highway,2013,32254,"53,051",25592
Jacksonville,Toyota,Camry,SEDAN,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 41 Highway,2020,32254,"19,169",28558
Jacksonville,Chevrolet,Colorado,TRUCKS,Used,Black,Black,Automatic,Diesel,4-Cylinder Turbo,4 wheel drive,20 City / 28 Highway,2016,32254,"74,219",32476
Jacksonville,Kia,K5,SEDAN,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 37 Highway,2022,32254,419,37994
Jacksonville,Ford,Explorer,SUV,Certified,White,Ebony,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,18 City / 24 Highway,2020,32254,"14,422",51836
Jacksonville,Ford,F150,TRUCKS,Certified,White,Black/Baja Tan,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,20 City / 24 Highway,2021,32254,233,53990
Jacksonville,Porsche,718 Cayman,COUPE,Used,Silver,,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,20 City / 26 Highway,2018,32254,"28,994",80997
Jacksonville,Nissan,Rogue,SUV,Certified,White,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 34 Highway,2021,32225,"4,439",34240
Jacksonville,Mercedes-Benz,C 450,SEDAN,Used,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,21 City / 28 Highway,2016,32225,"55,188",35499
Jacksonville,Jeep,Wrangler,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,,2019,32225,"25,113",43988
Jacksonville,Chevrolet,Camaro,COUPE,Used,Black,Jet Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 26 Highway,2021,32225,"8,448",49223
Jacksonville,Hyundai,Veloster,HATCH,Used,Blue,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 35 Highway,2017,32256,"21,304",19499
Jacksonville,Hyundai,Tucson,SUV,Used,Brown,Beige,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 28 Highway,2020,32256,"18,731",27995
Jacksonville,Chevrolet,Blazer,SUV,Used,White,Jet Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 26 Highway,2019,32256,"21,197",40989
Jacksonville,Jeep,Wrangler,SUV,Used,Green,Dark Saddle/Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,4 wheel drive,,2021,32256,"3,055",58995
Jacksonville,Ford,Mustang,COUPE,Used,Red,Ceramic,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,,2017,32225,"18,896",24991
Jacksonville,Honda,Pilot,SUV,Used,,Gray,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 27 Highway,2018,32225,"38,140",31991
Jacksonville,Acura,MDX,SUV,Used,Burgundy,Gray,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 26 Highway,2017,32225,"32,487",35491
Jacksonville,Honda,Passport,SUV,Certified,Black,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 25 Highway,2021,32225,"3,925",35891
