City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Las Vegas,Nissan,Altima,SEDAN,Used,Silver,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 38 Highway,2018,89101,"51,123",19002
Las Vegas,Honda,CR-V,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,28 City / 34 Highway,2017,89104,"28,717",28499
Las Vegas,Nissan,Versa,SEDAN,Used,Brown,Graphite,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,32 City / 40 Highway,2020,89014,"5,450",21995
Las Vegas,Honda,CR-V,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,28 City / 34 Highway,2021,89118,"7,472",33595
Las Vegas,Chevrolet,Volt,HATCH,Used,White,Jet Black/Jet Black,Automatic,Hybrid Gas/Electric,Plug-in Hybrid,2 wheel drive - front,43 City / 42 Highway,2018,89146,"39,413",19999
Las Vegas,Cadillac,XT5,SUV,Used,Gray,Cirrus,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 26 Highway,2018,89146,"39,869",32999
Las Vegas,Cadillac,XT4,SUV,Certified,Red,Light Platinum/Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 30 Highway,2021,89146,"4,014",35999
Las Vegas,Cadillac,XT4,SUV,Certified,White,Sedona/Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 30 Highway,2019,89146,"23,436",38999
Las Vegas,Cadillac,CT5,SEDAN,Certified,Blue,Sahara Beige With Jet Black Ac,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,23 City / 32 Highway,2021,89146,"9,614",46999
Las Vegas,Toyota,C-HR,SUV,Certified,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 31 Highway,2021,89146,"6,046",26491
Las Vegas,Toyota,Corolla,SEDAN,Certified,White,Light Gray,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,53 City / 52 Highway,2020,89146,"10,988",26999
Las Vegas,Toyota,Camry,SEDAN,Certified,Silver,Ash,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,51 City / 53 Highway,2018,89146,"15,258",27991
Las Vegas,Toyota,Tundra,TRUCKS,Certified,Red,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,13 City / 18 Highway,2017,89146,"24,762",38991
Las Vegas,Chevrolet,Trax,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 33 Highway,2017,89104,"34,559",18297
Las Vegas,Chevrolet,Trax,SUV,Used,Blue,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 33 Highway,2018,89104,"35,092",19097
Las Vegas,Chevrolet,Trax,SUV,Used,Silver,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 31 Highway,2019,89146,"22,586",21482
Las Vegas,GMC,Sierra 1500,TRUCKS,Used,Gray,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,20 City / 23 Highway,2020,89146,"17,917",45994
Las Vegas,Chevrolet,Colorado,TRUCKS,Used,Gray,Jet Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 24 Highway,2016,89101,"77,261",31395
Las Vegas,Mercedes-Benz,C 300,SEDAN,Used,Off White,Silk Beige/Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 32 Highway,2018,89102,"31,084",32993
Las Vegas,Jeep,Wrangler,SUV,Used,Black,Black,Manual,Gasoline,6-Cylinder,4 wheel drive,17 City / 23 Highway,2018,89102,"22,051",34498
Las Vegas,Volkswagen,Atlas,SUV,Used,Red,Shetland Beige,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,17 City / 24 Highway,2019,89102,"23,216",36999
Las Vegas,Lexus,RX 450hL,SUV,Used,White,Birch,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,All wheel drive,29 City / 28 Highway,2021,89102,"2,397",62591
Las Vegas,Ford,F150,TRUCKS,Used,Blue,Black,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,15 City / 18 Highway,2018,89102,"39,472",63681
Las Vegas,Nissan,Sentra,SEDAN,Certified,White,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 39 Highway,2020,89149,"5,846",22387
Las Vegas,Chevrolet,Trax,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 31 Highway,2020,89015,"4,879",19988
Las Vegas,Toyota,Tacoma,TRUCKS,Used,Silver,Grey,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,17 City / 21 Highway,2015,89117,"54,306",27999
Las Vegas,Lexus,ES 350,SEDAN,Used,,Beige,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,21 City / 30 Highway,2018,89117,"25,737",36999
Las Vegas,Mercedes-Benz,GLS 550,SUV,Certified,Black,Black,Automatic,Gasoline,8-Cylinder Turbo,All wheel drive,14 City / 19 Highway,2019,89117,"27,445",79995
Las Vegas,Toyota,Yaris,SEDAN,Used,Gray,Blue Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,32 City / 40 Highway,2019,89149,"16,312",19000
Las Vegas,Kia,Niro,SUV,Used,Black,Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,51 City / 46 Highway,2019,89149,"19,604",24000
Las Vegas,MAZDA,CX-5,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 31 Highway,2019,89149,"27,097",28000
Las Vegas,Chevrolet,Corvette,CONVERT,Used,Blue,Jet Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 27 Highway,2014,89149,"19,238",50000
Las Vegas,Pontiac,Solstice,CONVERT,Used,Red,Ebony,Manual,Gasoline,4-Cylinder,2 wheel drive - rear,17 City / 26 Highway,2006,89117,"72,433",9499
Las Vegas,Honda,Civic,SEDAN,Used,Red,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 38 Highway,2019,89117,"25,849",21499
Las Vegas,Honda,CR-V,SUV,Used,White,Beige,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 32 Highway,2016,89117,"48,130",21999
Las Vegas,Honda,Accord,SEDAN,Certified,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2020,89117,"7,370",26999
Las Vegas,Honda,CR-V,SUV,Used,Gray,Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,28 City / 34 Highway,2018,89117,"30,249",28499
Las Vegas,Honda,Pilot,SUV,Certified,Red,Tan,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2019,89117,"27,464",39999
Las Vegas,Honda,Passport,SUV,Used,White,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 24 Highway,2019,89117,"21,157",39999
Las Vegas,Lexus,RX 350,SUV,Used,Black,Saddle Brown Leather,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 27 Highway,2018,89117,"12,263",41999
Las Vegas,Chevrolet,Silverado 1500,TRUCKS,Used,White,Jet Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 23 Highway,2018,89104,"34,820",35947
Las Vegas,BMW,340i,SEDAN,Used,Gray,Black/Dark Oyster,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,21 City / 32 Highway,2018,89104,"30,205",40329
Las Vegas,Chevrolet,Blazer,SUV,Used,Gray,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 29 Highway,2021,89104,"6,317",39754
Las Vegas,Honda,CR-V,SUV,Certified,Silver,Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,28 City / 34 Highway,2020,89014,"10,172",35499
Las Vegas,Nissan,Sentra,SEDAN,Used,Black,Charcoal,Manual,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 35 Highway,2019,89104,"29,581",17752
Las Vegas,Nissan,Rogue,SUV,Used,Gray,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 33 Highway,2018,89104,"35,245",23889
Las Vegas,Honda,Pilot,SUV,Used,Blue,Gray,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 27 Highway,2016,89104,"52,809",26652
Las Vegas,Toyota,Camry,SEDAN,Used,Silver,Ash,Automatic,Gasoline,4-Cylinder,All wheel drive,29 City / 41 Highway,2020,89104,"14,298",26998
Las Vegas,Hyundai,Tucson,SUV,Used,Silver,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 33 Highway,2022,89104,"2,698",27351
Las Vegas,Acura,ILX,SEDAN,Used,Off White,Brown,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,24 City / 34 Highway,2019,89104,"19,685",27987
Las Vegas,Honda,CR-V,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 33 Highway,2019,89104,"10,625",30552
