City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Miami,Chevrolet,Cruze,SEDAN,Used,White,Other,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,29 City / 40 Highway,2018,33126,"36,448",15481
Miami,Audi,Q3,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,20 City / 28 Highway,2018,33137,"32,030",25991
Miami,Cadillac,XT5,SUV,Certified,,Kona Brown Sauvage,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 25 Highway,2020,33137,"4,956",46991
Miami,Lexus,IS 350,SEDAN,Used,Gray,Black W/Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,20 City / 28 Highway,2021,33166,"5,398",50447
Miami,Cadillac,SRX,SUV,Used,Brown,Shale W/Brownstone Accents,Automatic,Flexible Fuel,6-Cylinder,2 wheel drive - front,17 City / 24 Highway,2012,33143,"85,881",13990
Miami,Chevrolet,Equinox,SUV,Used,White,Medium Ash Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 32 Highway,2019,33143,"24,364",20490
Miami,Chevrolet,Equinox,SUV,Used,Gray,Medium Ash Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 32 Highway,2019,33143,"24,748",22490
Miami,Chevrolet,Traverse,SUV,Used,Black,Jet Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,18 City / 27 Highway,2018,33143,"32,407",24490
Miami,Chevrolet,Colorado,TRUCKS,Used,Gray,Jet Black/Dark Ash,Automatic,Gasoline,4-Cylinder,2 wheel drive - rear,20 City / 26 Highway,2019,33143,"28,686",27490
Miami,Hyundai,Elantra,SEDAN,Used,Black,Beige,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 37 Highway,2018,33137,"35,986",17760
Miami,Hyundai,Kona,SUV,Certified,White,Gray/Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 33 Highway,2019,33137,"22,373",21313
Miami,Hyundai,Kona,SUV,Certified,Black,Gray/Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 33 Highway,2019,33137,"12,139",21732
Miami,Hyundai,Santa Fe,SUV,Used,Gray,Black/Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,20 City / 25 Highway,2019,33137,"29,252",24940
Miami,Mercedes-Benz,GLA 250,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 33 Highway,2019,33137,"13,178",35000
Miami,Hyundai,Santa Fe,SUV,Used,Black,Beige,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,20 City / 27 Highway,2020,33137,"19,118",36136
Miami,BMW,X3,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,25 City / 29 Highway,2021,33137,"6,184",47174
Miami,Chrysler,300,SEDAN,Used,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 30 Highway,2016,33137,"67,531",17921
Miami,Nissan,Rogue,SUV,Used,Gray,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 32 Highway,2016,33137,"22,365",19491
Miami,Cadillac,ATS,SEDAN,Used,Red,Light Neutral W/Medium Cashmer,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,21 City / 29 Highway,2015,33137,"56,662",19521
Miami,Mercedes-Benz,CLA 250,SEDAN,Used,White,Sahara Beige/Black,Automatic,Flexible Fuel,4-Cylinder Turbo,2 wheel drive - front,24 City / 36 Highway,2017,33137,"59,097",23991
Miami,Cadillac,XT5,SUV,Certified,Black,Jet Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 26 Highway,2018,33137,"35,979",33911
Miami,Cadillac,CT4,SEDAN,Used,Black,Jet Black With Jet Black Accen,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 28 Highway,2020,33137,"5,058",49791
Miami,Cadillac,Escalade ESV,SUV,Used,Tan,,Automatic,Gasoline,8-Cylinder,All wheel drive,12 City / 16 Highway,2005,33142,"201,000",5500
Miami,Toyota,Camry,SEDAN,Used,White,,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,24 City / 34 Highway,2012,33142,"113,820",9999
Miami,Chevrolet,Cruze,HATCH,Used,Orange,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 40 Highway,2017,33054,"41,705",16999
Miami,MAZDA,MX-5 Miata RF,CONVERT,Used,Gray,Black W/Red Stitching,Manual,Gasoline,4-Cylinder,2 wheel drive - rear,26 City / 33 Highway,2017,33054,"12,229",27999
Miami,Hyundai,Santa Fe,SUV,Used,Gray,Espresso/Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 29 Highway,2020,33054,"11,303",28999
Miami,RAM,1500,TRUCKS,Used,White,Diesel Gray/Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,20 City / 25 Highway,2020,33054,"17,933",36249
Miami,Audi,Q3,SUV,Certified,White,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,19 City / 27 Highway,2019,33126,"17,958",38900
