City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Milwaukee,Ford,Edge,SUV,Certified,Blue,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,21 City / 29 Highway,2018,53221,"33,687",24472
Milwaukee,Lexus,LS 500,SEDAN,Certified,Blue,Chateau,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,18 City / 27 Highway,2019,53209,"25,912",66796
Milwaukee,Chevrolet,Trax,SUV,Used,Silver,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 30 Highway,2018,53221,"6,528",21995
Milwaukee,Chevrolet,Camaro,COUPE,Used,Blue,Jet Black,Manual,Gasoline,6-Cylinder,2 wheel drive - rear,16 City / 27 Highway,2019,53221,"23,515",29990
Milwaukee,Ford,Escape,SUV,Certified,Red,Chromite Gray/Chrcl Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 30 Highway,2019,53221,"22,639",23488
Milwaukee,Ford,Escape,SUV,Certified,Green,Chromite Gray/Chrcl Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 30 Highway,2019,53221,"28,585",24435
Milwaukee,Ford,Escape,SUV,Used,Black,Dark Earth Gray,Automatic,Gasoline,3-Cylinder Turbo,All wheel drive,26 City / 31 Highway,2020,53221,"19,429",27992
Milwaukee,Toyota,Highlander,SUV,Used,Silver,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 27 Highway,2017,53221,"43,855",29493
Milwaukee,INFINITI,QX60,SUV,Used,Gray,Graphite,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2017,53221,"29,376",32484
Milwaukee,BMW,330i xDrive,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2018,53221,"26,121",32839
Milwaukee,Toyota,Highlander,SUV,Used,Silver,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2017,53221,"44,626",34982
Milwaukee,Ford,Explorer,SUV,Used,Black,Ebony,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,20 City / 27 Highway,2020,53221,"14,846",41953
Milwaukee,Toyota,RAV4,SUV,Certified,Black,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,27 City / 34 Highway,2019,53209,"24,316",29498
Milwaukee,Toyota,Camry,SEDAN,Certified,Gray,Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,51 City / 53 Highway,2019,53209,"13,052",29974
Milwaukee,Toyota,4Runner,SUV,Used,Silver,Black Graphite,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 20 Highway,2019,53209,"9,325",47865
Milwaukee,Cadillac,CTS,SEDAN,Used,White,Jet Black,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 26 Highway,2019,53221,"4,595",40999
Milwaukee,Chevrolet,Spark,HATCH,Used,Blue,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 38 Highway,2017,53072,"12,892",13900
Milwaukee,Toyota,RAV4,SUV,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 35 Highway,2019,53072,"20,386",31700
Milwaukee,Toyota,4Runner,SUV,Certified,Gray,Black Graphite,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 20 Highway,2019,53072,"24,892",39100
Milwaukee,Acura,RDX,SUV,Used,White,Parchment,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 26 Highway,2019,53072,"26,133",40400
Milwaukee,Kia,Optima,SEDAN,Used,Red,Beige,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,24 City / 34 Highway,2018,53221,"58,114",18997
Milwaukee,Ford,EcoSport,SUV,Certified,Blue,Ebony Black,Automatic,Gasoline,3-Cylinder Turbo,2 wheel drive - front,27 City / 29 Highway,2018,53221,"27,572",21496
Milwaukee,Ford,Escape,SUV,Certified,Blue,Charcoal Black,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,22 City / 28 Highway,2018,53221,"47,907",21992
Milwaukee,Ford,EcoSport,SUV,Certified,Black,Ebony Black,Automatic,Gasoline,4-Cylinder,4 wheel drive,23 City / 29 Highway,2018,53221,"35,922",22493
Milwaukee,Ford,Escape,SUV,Certified,Orange,Chromite Gray/Chrcl Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 30 Highway,2019,53221,"31,968",23498
Milwaukee,Ford,Escape,SUV,Certified,White,Charcoal Black,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,22 City / 28 Highway,2018,53221,"40,366",23984
Milwaukee,Nissan,Rogue,SUV,Used,Black,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 32 Highway,2019,53221,"32,235",24447
Milwaukee,Ford,Escape,SUV,Certified,White,Charcoal Black,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,20 City / 27 Highway,2017,53221,"35,496",25488
Milwaukee,Lincoln,MKC,SUV,Used,Gray,Ebony,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,19 City / 25 Highway,2018,53221,"46,345",27886
Milwaukee,INFINITI,QX50,SUV,Used,White,Graphite,Automatic,Gasoline,6-Cylinder,All wheel drive,17 City / 24 Highway,2017,53221,"29,033",28798
Milwaukee,Ford,Edge,SUV,Certified,Silver,Ebony,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,17 City / 24 Highway,2017,53221,"48,009",30265
Milwaukee,Ford,Escape,SUV,Used,Black,Dark Earth Gray,Automatic,Gasoline,3-Cylinder Turbo,All wheel drive,26 City / 31 Highway,2021,53221,"5,191",30475
Milwaukee,BMW,430i Gran Coupe xDrive,HATCH,Used,Silver,Night Blue/Dark Oyster,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2018,53221,"47,739",32996
Milwaukee,BMW,430i Gran Coupe xDrive,HATCH,Used,Silver,Coral Red/Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2018,53221,"45,768",34898
Milwaukee,Ford,Edge,SUV,Certified,Red,Ebony,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 28 Highway,2019,53221,"32,682",34985
Milwaukee,Nissan,Titan,TRUCKS,Used,Brown,Beige,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 21 Highway,2017,53221,"44,539",36992
Milwaukee,Ford,F150,TRUCKS,Certified,Blue,Medium Earth Gray,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,18 City / 23 Highway,2018,53221,"29,604",37798
Milwaukee,Lexus,GS 350,SEDAN,Used,Black,Noble Brown,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2017,53221,"45,465",37998
Milwaukee,Ford,Edge,SUV,Certified,Blue,Ebony,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,19 City / 26 Highway,2019,53221,"29,162",39474
Milwaukee,Ford,Explorer,SUV,Used,Blue,Ebony,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,20 City / 27 Highway,2020,53221,"13,760",41953
Milwaukee,Ford,F150,TRUCKS,Certified,,Black,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,18 City / 23 Highway,2019,53221,"36,693",41982
Milwaukee,Ford,Explorer,SUV,Used,Silver,Ebony,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,20 City / 27 Highway,2020,53221,"6,791",46993
Milwaukee,Dodge,Ram 1500 Truck,TRUCKS,Used,Tan,Khaki,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,,2006,53221,"27,516",15889
Milwaukee,Chevrolet,Malibu,SEDAN,Used,Silver,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,29 City / 36 Highway,2019,53209,"19,408",22770
Milwaukee,RAM,1500,TRUCKS,Used,Silver,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 21 Highway,2017,53209,"32,063",41312
Milwaukee,Subaru,Legacy,SEDAN,Used,Red,Off Black,Automatic,Gasoline,4-Cylinder,All wheel drive,24 City / 32 Highway,2013,53209,"72,013",13994
Milwaukee,GMC,Sierra 1500,TRUCKS,Used,Black,Ebony,Automatic,Flexible Fuel,8-Cylinder,4 wheel drive,13 City / 18 Highway,2011,53209,"61,410",22460
Milwaukee,Toyota,C-HR,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 31 Highway,2019,53209,"20,740",25000
Milwaukee,Toyota,RAV4,SUV,Used,Red,Nutmeg,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 35 Highway,2019,53209,"16,467",28853
Milwaukee,Toyota,RAV4,SUV,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,27 City / 34 Highway,2019,53209,"24,948",29999
Milwaukee,Toyota,RAV4,SUV,Used,Black,Light Gray,Automatic,Gasoline,4-Cylinder,All wheel drive,27 City / 34 Highway,2019,53209,"12,545",30407
Milwaukee,Toyota,RAV4,SUV,Certified,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 35 Highway,2019,53209,"17,191",31699
Milwaukee,Subaru,Ascent,SUV,Used,Black,Slate Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 27 Highway,2019,53209,"20,819",33996
Milwaukee,Subaru,Forester,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,26 City / 33 Highway,2019,53209,"15,715",33999
Milwaukee,Toyota,Highlander,SUV,Used,White,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2019,53209,"15,594",39989
Milwaukee,Toyota,Tacoma,TRUCKS,Used,Silver,Cement,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 22 Highway,2021,53209,"6,295",45632
Milwaukee,Toyota,Highlander,SUV,Certified,Gray,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2019,53224,"6,217",40994
Milwaukee,Lexus,ES 350,SEDAN,Used,Red,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,21 City / 31 Highway,2015,53209,"100,777",21249
Milwaukee,Honda,Accord,SEDAN,Used,Off White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2020,53209,"17,076",28593
Milwaukee,Lexus,ES 350,SEDAN,Certified,Black,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 33 Highway,2019,53209,"28,328",39393
Milwaukee,Lexus,ES 350,SEDAN,Certified,Red,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 33 Highway,2019,53209,"19,903",39929
Milwaukee,Tesla,Model Y,SUV,Used,White,White/Black,Single-Speed,Electric,Electric,All wheel drive,,2021,53209,"8,581",64324
Milwaukee,Mercedes-Benz,GLS 550,SUV,Used,Black,Black,Automatic,Gasoline,8-Cylinder Turbo,All wheel drive,14 City / 19 Highway,2018,53209,"34,334",66173
Milwaukee,Lexus,LX 570,SUV,Certified,Silver,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,12 City / 16 Highway,2021,53209,"6,256",95000
Milwaukee,Lincoln,Navigator,SUV,Certified,Red,Medium Light Stone,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,15 City / 20 Highway,2017,53227,"49,943",45995
Milwaukee,Lincoln,Nautilus,SUV,Certified,Silver,Ebony,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 25 Highway,2020,53227,"12,595",50000
Milwaukee,Nissan,Sentra,SEDAN,Certified,Black,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 37 Highway,2019,53221,"18,509",18999
