City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Nashville,Nissan,Maxima,SEDAN,Used,Black,Charcoal,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 30 Highway,2019,37204,"18,072",28299
Nashville,Toyota,RAV4,SUV,Used,Burgundy,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 35 Highway,2021,37204,"10,545",31199
Nashville,BMW,X4,SUV,Used,Gray,Canberra Beige/Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2019,37204,"18,131",59999
Nashville,Nissan,Leaf,HATCH,Used,Gray,Black,Single-Speed,Electric,Electric,2 wheel drive - front,124 City / 101 Highway,2017,37228,"28,430",15389
Nashville,Alfa Romeo,Giulia,SEDAN,Used,Black,Black/Tan,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 31 Highway,2018,37228,"30,938",31489
Nashville,Volkswagen,Jetta,SEDAN,Used,White,Storm Gray/Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 40 Highway,2019,37204,"36,567",20849
Nashville,GMC,Terrain,SUV,Used,Black,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 30 Highway,2019,37204,"44,726",25299
Nashville,MAZDA,MX-5 Miata RF,CONVERT,Used,Black,Black W/Red Stitching,Manual,Gasoline,4-Cylinder,2 wheel drive - rear,26 City / 33 Highway,2017,37204,"13,849",25976
Nashville,Honda,Pilot,SUV,Used,White,Beige,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 26 Highway,2018,37204,"31,683",34978
Nashville,BMW,330i Gran Turismo xDrive,HATCH,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2018,37204,"14,409",35977
Nashville,Lincoln,Corsair,SUV,Used,Beige,Sandstone,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 29 Highway,2021,37204,"9,602",36976
Nashville,BMW,430i Gran Coupe,HATCH,Certified,White,Beige,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24 City / 34 Highway,2019,37204,"23,029",36976
Nashville,BMW,530i,SEDAN,Certified,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,25 City / 33 Highway,2021,37204,"3,531",51976
Nashville,Ford,Fusion,SEDAN,Used,Silver,Ebony,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,21 City / 32 Highway,2018,37228,"42,370",19489
Nashville,Nissan,Rogue,SUV,Used,Silver,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 32 Highway,2018,37228,"25,184",26589
Nashville,Toyota,Avalon,SEDAN,Used,Blue,Graphite,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 32 Highway,2019,37228,"26,739",32399
Nashville,Honda,Pilot,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 26 Highway,2019,37228,"29,495",33289
