City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
New York,Toyota,Highlander,SUV,Used,Gray,Ash,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2018,11377,"25,848",34607
New York,Buick,Encore,SUV,Used,White,Ebony,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 29 Highway,2019,11377,"12,031",24257
New York,Honda,Odyssey,VANS,Used,Gray,Gray,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,18 City / 27 Highway,2011,11372,"103,635",13889
New York,MAZDA,CX-5,SUV,Used,Blue,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,24 City / 30 Highway,2019,11372,"23,311",26998
New York,Subaru,Ascent,SUV,Certified,Brown,Java Brown,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 26 Highway,2019,11372,"23,467",37998
New York,MAZDA,CX-9,SUV,Certified,Red,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 26 Highway,2021,11372,"4,278",38000
New York,INFINITI,QX60,SUV,Used,White,Java,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2018,11423,"37,544",26550
New York,Jeep,Cherokee,SUV,Used,Blue,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,19 City / 25 Highway,2018,07643,"17,155",31891
New York,Lexus,RX 350,SUV,Used,White,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2019,07604,"23,367",40895
New York,Audi,S4,SEDAN,Used,Gray,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,21 City / 30 Highway,2019,11354,"16,242",49135
New York,Honda,Clarity,SEDAN,Used,Black,Black,Automatic,Hybrid Gas/Electric,Plug-in Hybrid,2 wheel drive - front,44 City / 40 Highway,2018,11432,"16,672",23777
New York,Mercedes-Benz,C 300,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 34 Highway,2017,11432,"46,830",24999
New York,Acura,TLX,SEDAN,Used,White,Ebony,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 32 Highway,2019,11432,"13,790",27777
New York,Hyundai,Santa Fe,SUV,Used,White,Gray,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 24 Highway,2019,11432,"18,021",27777
New York,INFINITI,Q50,SEDAN,Used,White,Graphite,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,19 City / 26 Highway,2018,11432,"15,648",29999
New York,Toyota,Highlander,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2018,11432,"34,708",33777
New York,Mercedes-Benz,GLE 400,SUV,Used,Gray,Black Pearl/Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,17 City / 23 Highway,2019,11432,"15,300",46999
