City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Oklahoma City,Jeep,Renegade,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,4 wheel drive,21 City / 29 Highway,2019,73110,"15,679",22700
Oklahoma City,Hyundai,Sonata,SEDAN,Used,Off White,Gray,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,39 City / 42 Highway,2016,73110,"22,565",19200
Oklahoma City,Ford,Escape,SUV,Used,Gold,Charcoal Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,21 City / 29 Highway,2017,73110,"31,647",19980
Oklahoma City,Nissan,Pathfinder,SUV,Used,Black,Rock Creek,Automatic,Gasoline,6-Cylinder,4 wheel drive,19 City / 26 Highway,2019,73110,"9,243",36990
Oklahoma City,Chevrolet,Silverado 1500,TRUCKS,Used,White,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 20 Highway,2021,73110,220,44990
Oklahoma City,Chevrolet,Silverado 1500,TRUCKS,Used,White,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 20 Highway,2021,73110,220,44990
Oklahoma City,Chevrolet,Silverado 1500,TRUCKS,Used,White,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 20 Highway,2021,73110,223,44990
Oklahoma City,Chevrolet,Silverado 1500,TRUCKS,Used,White,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 20 Highway,2021,73110,245,44990
Oklahoma City,Chevrolet,Silverado 1500,TRUCKS,Used,Black,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,19 City / 22 Highway,2021,73139,"3,256",45980
Oklahoma City,Audi,A3,CONVERT,Used,Gray,Rock Gray/Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,26 City / 35 Highway,2019,73114,"4,989",42991
Oklahoma City,Chrysler,200,SEDAN,Used,Silver,Light Frost Beige/Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 28 Highway,2014,73131,"71,982",10994
Oklahoma City,Toyota,RAV4,SUV,Used,Red,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 35 Highway,2019,73131,"28,413",28165
Oklahoma City,Audi,Q7,SUV,Used,White,Rock Gray,Automatic,Gasoline,6-Cylinder Supercharged,All wheel drive,19 City / 25 Highway,2018,73131,"31,624",51935
Oklahoma City,Cadillac,Escalade ESV,SUV,Used,Brown,Shale/Cocoa Accents,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 21 Highway,2016,73132,"54,619",51995
Oklahoma City,Ford,Edge,SUV,Used,Black,Ebony,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,17 City / 24 Highway,2016,73013,"42,793",29000
Oklahoma City,Mercedes-Benz,C 300,SEDAN,Used,White,Silk Beige,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2020,73013,"16,893",43500
Oklahoma City,Buick,Encore,SUV,Used,White,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 30 Highway,2019,73162,"21,419",23687
Oklahoma City,Hyundai,Genesis,SEDAN,Used,Black,Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 23 Highway,2015,73162,"56,345",24887
