City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Philadelphia,BMW,X3,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 29 Highway,2019,19053,"9,503",41421
Philadelphia,Jeep,Cherokee,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder,4 wheel drive,21 City / 28 Highway,2016,19047,"56,348",17999
Philadelphia,Ford,Fusion,SEDAN,Used,White,Ebony,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,43 City / 40 Highway,2020,19114,"16,214",27478
Philadelphia,Hyundai,Elantra,SEDAN,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 37 Highway,2019,19047,"20,265",21244
Philadelphia,Hyundai,Tucson,SUV,Certified,White,Gray,Automatic,Gasoline,4-Cylinder,All wheel drive,22 City / 25 Highway,2019,19047,"27,137",24565
Philadelphia,Hyundai,Sonata,SEDAN,Certified,Red,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 33 Highway,2019,19047,"14,661",25429
Philadelphia,Hyundai,Kona,SUV,Certified,Gray,Black W/Lime,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,26 City / 29 Highway,2018,19047,"14,017",26997
Philadelphia,Hyundai,Santa Fe,SUV,Certified,Silver,Espresso/Gray,Automatic,Gasoline,4-Cylinder,All wheel drive,21 City / 27 Highway,2020,19047,"18,792",33185
Philadelphia,Dodge,Durango,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 25 Highway,2018,19047,"38,972",37885
Philadelphia,Hyundai,Palisade,SUV,Certified,Black,Black/Gray,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 24 Highway,2020,19047,"19,986",45985
Philadelphia,MAZDA,CX-5,SUV,Certified,Black,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,24 City / 30 Highway,2020,19053,"18,881",27896
Philadelphia,MAZDA,CX-5,SUV,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,24 City / 30 Highway,2020,19053,"11,068",28810
Philadelphia,MAZDA,MAZDA6,SEDAN,Certified,Blue,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 31 Highway,2021,19053,550,29863
Philadelphia,Nissan,Rogue Sport,SUV,Certified,Gray,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,24 City / 30 Highway,2019,18974,"23,190",23500
Philadelphia,Nissan,Rogue Sport,SUV,Certified,Red,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,24 City / 30 Highway,2018,18974,"31,197",25900
Philadelphia,Nissan,Rogue,SUV,Certified,White,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 32 Highway,2019,18974,"17,991",26670
