City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Phoenix,Lexus,ES 350,SEDAN,Used,Gray,Parchment,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,21 City / 30 Highway,2013,85014,"87,798",20000
Phoenix,Volkswagen,Passat,SEDAN,Used,White,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 36 Highway,2021,85014,"7,131",27000
Phoenix,Lexus,ES 350,SEDAN,Used,Red,Flaxen,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,21 City / 30 Highway,2018,85014,"29,849",33000
Phoenix,Chevrolet,Silverado 1500,TRUCKS,Used,Blue,Jet Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,17 City / 23 Highway,2020,85014,"19,984",42000
Phoenix,Hyundai,Elantra,SEDAN,Used,Red,Medium Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,31 City / 41 Highway,2021,85014,"9,145",24600
Phoenix,Honda,CR-V,SUV,Used,Off White,,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 33 Highway,2019,85014,"21,248",29300
Phoenix,Nissan,Altima,SEDAN,Certified,Silver,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 38 Highway,2018,85014,"21,277",20998
Phoenix,Dodge,Challenger,COUPE,Used,Gray,Dark Slate Gray,Manual,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 23 Highway,2014,85014,"50,141",24998
Phoenix,Nissan,Rogue,SUV,Certified,Black,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 33 Highway,2019,85014,"23,974",24998
Phoenix,Nissan,Sentra,SEDAN,Certified,Red,Sport,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 39 Highway,2020,85014,"7,249",25498
