City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Portland,Honda,CR-V,SUV,Used,Gray,Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,All wheel drive,40 City / 35 Highway,2021,97216,"6,369",38888
Portland,Chevrolet,Malibu,SEDAN,Used,Silver,Dark Atmosphere/Medium Ash Gra,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,29 City / 36 Highway,2019,97201,"15,408",23900
Portland,Ford,Escape,SUV,Used,Gray,Charcoal Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 30 Highway,2019,97201,"17,062",27500
Portland,Chevrolet,Traverse,SUV,Used,Black,Dark Atmosphere/Medium Ash Gra,Automatic,Gasoline,6-Cylinder,All wheel drive,17 City / 25 Highway,2018,97201,"38,062",34900
Portland,Hyundai,Venue,SUV,Used,Blue,Denim,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 34 Highway,2020,97214,"19,723",21265
Portland,Honda,Civic,SEDAN,Used,Blue,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,31 City / 42 Highway,2016,97209,"37,386",22950
Portland,Mercedes-Benz,E 350,SEDAN,Used,White,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 28 Highway,2016,97209,"15,298",31950
Portland,MAZDA,CX-5,SUV,Used,White,Caturra Brown,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 27 Highway,2020,97216,"13,778",40888
Portland,Nissan,Rogue Sport,SUV,Used,Gray,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 32 Highway,2017,97233,"38,166",22721
Portland,Volkswagen,Jetta,SEDAN,Used,White,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 39 Highway,2019,97233,"18,021",19993
Portland,Lexus,NX 300h,SUV,Used,Gray,Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,All wheel drive,33 City / 30 Highway,2015,97233,"47,285",32993
Portland,Chevrolet,Silverado 2500,TRUCKS,Used,Gray,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,,2020,97233,"14,083",61988
Portland,RAM,1500,TRUCKS,Used,White,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,16 City / 23 Highway,2017,97201,"40,482",29900
Portland,Nissan,Rogue,SUV,Used,Gray,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 32 Highway,2019,97201,"10,473",30500
Portland,BMW,330i xDrive,SEDAN,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2018,97201,"42,598",31900
Portland,RAM,1500,TRUCKS,Used,Red,Diesel Gray/Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 21 Highway,2018,97201,"24,634",37900
Portland,Ford,F150,TRUCKS,Used,White,Medium Earth Gray,Automatic,Flexible Fuel,8-Cylinder,4 wheel drive,18 City / 23 Highway,2019,97201,"18,386",41900
Portland,Lexus,RX 350,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2017,97201,"48,679",41900
Portland,BMW,320i xDrive,SEDAN,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 34 Highway,2017,97218,"34,554",27999
Portland,Chevrolet,Tahoe,SUV,Used,Black,Jet Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,16 City / 22 Highway,2018,97225,"29,940",59990
Portland,Subaru,Impreza,HATCH,Used,White,Ivory,Automatic,Gasoline,4-Cylinder,All wheel drive,28 City / 36 Highway,2019,97214,"22,208",27543
Portland,Volkswagen,Golf R,HATCH,Used,White,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 30 Highway,2019,97239,"11,392",44995
Portland,Nissan,Kicks,SUV,Certified,Gray,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,31 City / 36 Highway,2020,97027,"8,086",22988
Portland,Mercedes-Benz,ML 350,SUV,Used,Silver,Gray,Automatic,Flexible Fuel,6-Cylinder,All wheel drive,18 City / 22 Highway,2015,97209,"65,597",26950
Portland,MAZDA,MAZDA3,HATCH,Used,Blue,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 39 Highway,2016,97233,"20,297",20902
Portland,Toyota,Sienna,VANS,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,18 City / 25 Highway,2015,97233,"66,206",28382
Portland,Ford,Mustang,COUPE,Used,Red,Ebony,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 24 Highway,2017,97233,"42,248",33533
Portland,Toyota,RAV4,SUV,Certified,Blue,Light Gray,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 33 Highway,2019,97233,"19,258",34143
Portland,Chrysler,Pacifica,VANS,Used,White,Black/Alloy,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 28 Highway,2019,97233,"17,059",38783
Portland,Toyota,Highlander,SUV,Certified,Blue,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2019,97233,"28,236",38983
Portland,Toyota,Corolla,HATCH,Used,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 36 Highway,2018,97216,"17,303",22488
Portland,Acura,TLX,SEDAN,Used,Off White,Ebony,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 32 Highway,2019,97216,"20,724",38388
Portland,Volkswagen,Jetta,SEDAN,Used,White,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 39 Highway,2019,97233,"18,598",19988
Portland,Volkswagen,Tiguan,SUV,Used,Black,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 27 Highway,2018,97233,"38,007",24988
Portland,Volkswagen,Tiguan,SUV,Used,Green,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 27 Highway,2018,97233,"21,872",25993
Portland,Volkswagen,Tiguan,SUV,Certified,White,Storm Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 29 Highway,2019,97233,"27,745",25993
Portland,Hyundai,Santa Fe,SUV,Used,Blue,Black/Black,Automatic,Gasoline,4-Cylinder,All wheel drive,21 City / 27 Highway,2020,97233,"11,237",29993
Portland,Volkswagen,GTI,HATCH,Used,White,Titan Black,Manual,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 32 Highway,2019,97233,"26,156",29993
Portland,Hyundai,Santa Fe,SUV,Certified,Blue,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,20 City / 25 Highway,2019,97233,"25,127",33988
Portland,Honda,CR-V,SUV,Used,Gray,Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,27 City / 32 Highway,2020,97233,"16,923",34993
Portland,BMW,X6,SUV,Used,Silver,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,18 City / 26 Highway,2015,97233,"67,901",35993
Portland,Toyota,Highlander,SUV,Used,White,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2019,97233,"20,231",42993
Portland,Lexus,LC 500,CONVERT,Used,Blue,Circuit Red W/Satin Metallic T,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 25 Highway,2021,97230,"6,988",106997
