City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
San Diego,Kia,Niro,SUV,Used,White,Gray,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,51 City / 46 Highway,2019,92057,"5,246",26950
San Diego,Lexus,ES 350,SEDAN,Used,Silver,Tan,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,21 City / 30 Highway,2018,92057,"27,456",33450
San Diego,Toyota,Highlander,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,21 City / 27 Highway,2019,92057,"29,836",37350
San Diego,Honda,Pilot,SUV,Used,White,Beige,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2019,92057,"26,550",42350
San Diego,Chevrolet,Corvette,CONVERT,Used,Red,Jet Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,,2015,92057,"25,473",50950
San Diego,Hyundai,Kona,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 30 Highway,2019,91950,"38,777",21500
San Diego,Hyundai,Tucson,SUV,Used,Blue,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 28 Highway,2020,91950,"12,851",26950
San Diego,MAZDA,CX-5,SUV,Used,White,Silk Beige,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 31 Highway,2019,91950,"13,359",30250
San Diego,Honda,Civic,SEDAN,Used,Off White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 38 Highway,2020,91945,"13,179",23825
San Diego,Hyundai,Elantra,SEDAN,Used,Gray,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 37 Highway,2016,92057,"39,253",17950
San Diego,Jeep,Patriot,SUV,Used,Gray,Dark Slate Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 26 Highway,2016,92057,"51,859",18500
San Diego,Ford,Escape,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 30 Highway,2017,92057,"49,411",19500
San Diego,Jeep,Renegade,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder,4 wheel drive,21 City / 29 Highway,2016,92057,"45,297",20950
San Diego,Toyota,RAV4,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 30 Highway,2018,92057,"39,785",24950
San Diego,Audi,Q5,SUV,Used,White,Black,Automatic,Flexible Fuel,4-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2016,92057,"49,316",26950
San Diego,Lexus,IS 350,SEDAN,Used,Red,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 28 Highway,2014,92057,"57,921",27950
San Diego,Ford,Mustang,COUPE,Used,Blue,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,,2019,92057,"18,703",27950
San Diego,BMW,X3,SUV,Used,Black,Oyster,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,21 City / 28 Highway,2017,92057,"27,665",29500
San Diego,Jeep,Cherokee,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,20 City / 27 Highway,2017,92057,"40,138",30500
San Diego,Honda,CR-V,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 33 Highway,2019,92057,"16,539",31900
San Diego,Chrysler,Pacifica,VANS,Used,Red,Deep Mocha/Black/Dp Mocha,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 28 Highway,2018,92057,"33,852",38950
San Diego,Honda,Ridgeline,TRUCKS,Used,Black,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 24 Highway,2020,92057,"27,885",41750
San Diego,Volvo,XC60,SUV,Used,Blue,Blond,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,19 City / 27 Highway,2019,92057,"26,849",46950
San Diego,Land Rover,Range Rover Evoque,SUV,Used,White,Beige,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,21 City / 29 Highway,2018,92057,"9,530",56950
San Diego,GMC,Sierra 1500,TRUCKS,Used,White,Jet Black With Kalahari Accent,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 20 Highway,2019,92057,"15,677",57950
San Diego,Ford,Fusion,SEDAN,Used,White,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 34 Highway,2019,92108,"19,492",21977
San Diego,Ford,Mustang,COUPE,Used,Red,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,,2016,92109,"32,920",24925
San Diego,Ford,Explorer,SUV,Used,Blue,Ebony Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,17 City / 24 Highway,2018,92109,"23,785",33802
San Diego,Ford,Transit 250,VANS,Used,White,Gray,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,,2016,92109,"18,484",52998
San Diego,BMW,540i,SEDAN,Certified,White,Black,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,21 City / 29 Highway,2019,92020,"22,704",45995
San Diego,Hyundai,Kona,SUV,Used,Blue,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 33 Highway,2019,92111,"44,890",20991
San Diego,Jeep,Grand Cherokee,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 26 Highway,2019,92111,"28,541",30991
San Diego,Acura,TLX,SEDAN,Used,Blue,Other,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,24 City / 35 Highway,2016,92111,"49,776",23203
San Diego,MAZDA,MAZDA6,SEDAN,Used,Blue,Parchment,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 35 Highway,2017,92111,"26,272",23779
San Diego,Toyota,Corolla,HATCH,Certified,Blue,Other,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,,2019,92111,"20,993",24538
San Diego,BMW,X3,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,21 City / 28 Highway,2017,92111,"30,415",28224
San Diego,Lexus,ES 350,SEDAN,Certified,Gray,Chateau,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 33 Highway,2019,92111,"22,086",37500
San Diego,Lexus,NX 300,SUV,Certified,White,Creme,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 28 Highway,2019,92111,"11,410",37500
San Diego,Lexus,NX 300,SUV,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 28 Highway,2019,92111,"15,655",39000
San Diego,Lexus,NX 300,SUV,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 28 Highway,2020,92111,"12,289",40000
San Diego,Lexus,NX 300,SUV,Certified,White,Circuit Red,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 28 Highway,2019,92111,"17,526",42500
San Diego,Lexus,ES 350,SEDAN,Certified,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 31 Highway,2020,92111,"12,501",42500
San Diego,Lexus,ES 350,SEDAN,Certified,Silver,Chateau,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 31 Highway,2020,92111,"6,454",43500
San Diego,Lexus,RX 350L,SUV,Certified,Gray,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,18 City / 25 Highway,2018,92111,"33,879",44500
San Diego,Lexus,ES 350,SEDAN,Certified,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 32 Highway,2021,92111,"7,431",46500
San Diego,Lexus,RX 350,SUV,Certified,Silver,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 27 Highway,2021,92111,"7,869",52000
San Diego,Volkswagen,Atlas,SUV,Certified,Gray,Titan Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,17 City / 23 Highway,2020,92110,"15,768",38900
San Diego,Toyota,RAV4,SUV,Certified,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 35 Highway,2020,92120,"17,913",31734
San Diego,Hyundai,Elantra,SEDAN,Used,Silver,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 37 Highway,2016,91950,"82,417",14000
San Diego,Volkswagen,Jetta,SEDAN,Used,White,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 39 Highway,2019,91950,"18,373",19600
San Diego,Kia,Forte,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 40 Highway,2019,91950,"33,534",20500
San Diego,Hyundai,Tucson,SUV,Used,White,Beige,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 30 Highway,2018,91950,"29,500",21850
San Diego,Hyundai,Sonata,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 33 Highway,2019,91950,"22,099",22000
San Diego,GMC,Acadia,SUV,Used,Silver,Ebony,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,17 City / 24 Highway,2015,91950,"58,286",22750
San Diego,Hyundai,Kona,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 33 Highway,2019,91950,"10,871",23500
San Diego,Hyundai,Genesis Coupe,COUPE,Used,Gray,Black,Manual,Gasoline,6-Cylinder,2 wheel drive - rear,17 City / 24 Highway,2016,91950,"62,778",23500
San Diego,Kia,Sportage,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 29 Highway,2019,91950,"18,152",23900
San Diego,Hyundai,Veloster,HATCH,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,28 City / 34 Highway,2019,91950,"25,157",24900
San Diego,Hyundai,Tucson,SUV,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 30 Highway,2019,91950,"25,556",25100
San Diego,Chevrolet,Colorado,TRUCKS,Used,Brown,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,18 City / 25 Highway,2015,91950,"66,955",25700
San Diego,Hyundai,Santa Fe,SUV,Used,White,Gray,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,18 City / 25 Highway,2018,91950,"32,045",30900
San Diego,Kia,K5,SEDAN,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 37 Highway,2021,91950,"9,980",31750
San Diego,Hyundai,Santa Fe,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,20 City / 27 Highway,2020,91950,"5,621",35200
San Diego,RAM,ProMaster,VANS,Used,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,,2019,91950,"39,754",45500
San Diego,RAM,2500,TRUCKS,Used,Gray,Black,Automatic,Diesel,6-Cylinder Turbo,4 wheel drive,,2018,91950,"26,500",66500
San Diego,Jeep,Grand Cherokee,SUV,Used,Black,,Automatic,Gasoline,6-Cylinder,4 wheel drive,18 City / 25 Highway,2020,91942,"19,310",38990
San Diego,Honda,Civic,COUPE,Used,Gray,Black,Manual,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 35 Highway,2019,92111,"12,439",23955
San Diego,Honda,Accord,SEDAN,Used,Silver,Ivory,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2018,92111,"35,308",23999
San Diego,Honda,Accord,SEDAN,Used,Off White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2019,92111,"10,105",26888
San Diego,Tesla,Model Y,SUV,Used,Off White,Black,Single-Speed,Electric,Electric,All wheel drive,,2022,91942,50,69990
San Diego,Honda,Civic,SEDAN,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 40 Highway,2016,91945,"30,432",20971
San Diego,Honda,Civic,SEDAN,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 38 Highway,2021,91945,"5,570",25988
San Diego,Honda,Civic,SEDAN,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 38 Highway,2021,91945,"5,805",25988
San Diego,Honda,Civic,SEDAN,Certified,Gray,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 38 Highway,2021,91945,"9,462",25988
San Diego,Honda,Civic,SEDAN,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,32 City / 42 Highway,2020,91945,"15,705",27888
San Diego,Honda,CR-V,SUV,Used,Gray,Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,28 City / 34 Highway,2018,91945,"32,678",28498
San Diego,Kia,Optima,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 37 Highway,2020,91945,"11,855",28798
San Diego,RAM,2500,TRUCKS,Used,Gray,Diesel Gray/Black,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,,2016,91945,"38,002",43885
San Diego,Subaru,Ascent,SUV,Used,White,Slate Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 26 Highway,2020,92111,"12,960",43517
San Diego,Volvo,XC60,SUV,Certified,Gray,Maroon Brown,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 29 Highway,2019,92111,"28,710",38991
San Diego,Volvo,XC60,SUV,Certified,Silver,Blond,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2020,92111,"12,468",48991
San Diego,Volvo,XC90,SUV,Certified,White,Charcoal,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,19 City / 26 Highway,2019,92111,"20,619",56791
San Diego,Ford,Expedition Max,SUV,Used,Black,Ebony,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,16 City / 21 Highway,2019,92109,"42,736",47998
San Diego,Ford,Explorer,SUV,Used,Gray,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,21 City / 28 Highway,2020,91942,"18,537",37650
San Diego,Chevrolet,Colorado,TRUCKS,Used,Silver,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 24 Highway,2016,92021,"48,390",31994
San Diego,GMC,Canyon,TRUCKS,Certified,Gray,Jet Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 24 Highway,2019,92108,"21,460",44333
San Diego,Scion,tC,HATCH,Used,Burgundy,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,,2010,92057,"108,816",7950
San Diego,Honda,Fit,HATCH,Used,Silver,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 33 Highway,2010,92057,"69,774",11500
San Diego,BMW,328i,SEDAN,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,,2010,92057,"54,533",13500
San Diego,FIAT,500,HATCH,Used,White,Black,Single-Speed,Electric,Electric,2 wheel drive - front,,2017,92057,"28,301",13950
San Diego,MINI,Cooper,HATCH,Used,Red,Gray,Manual,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 34 Highway,2014,92057,"73,978",15900
San Diego,Toyota,Prius,HATCH,Used,Black,Gray,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,51 City / 48 Highway,2014,92057,"90,892",15950
San Diego,Honda,Accord,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 35 Highway,2013,92057,"66,460",17700
San Diego,Toyota,Prius,HATCH,Used,White,Gray,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,51 City / 48 Highway,2013,92057,"69,127",17950
San Diego,Hyundai,Tucson,SUV,Used,Black,Beige Two-Tone,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,21 City / 28 Highway,2015,92057,"59,667",18150
San Diego,Volkswagen,Passat,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 36 Highway,2016,92057,"57,900",18500
San Diego,Honda,Civic,SEDAN,Used,Gray,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 40 Highway,2016,92057,"57,726",18500
San Diego,MAZDA,CX-5,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 33 Highway,2016,92057,"52,185",18950
San Diego,Volkswagen,GTI,HATCH,Used,Blue,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 33 Highway,2015,92057,"57,257",19500
