City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
San Francisco,Audi,S5,COUPE,Used,Gray,Black,Automatic,Gasoline,8-Cylinder,All wheel drive,16 City / 24 Highway,2011,94103,"53,013",21495
San Francisco,Lexus,IS 250,SEDAN,Used,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,21 City / 30 Highway,2014,94103,"84,635",22995
San Francisco,BMW,435i Gran Coupe,HATCH,Used,White,Coral Red Dakota Leather,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,21 City / 31 Highway,2015,94103,"54,645",26995
San Francisco,Mercedes-Benz,C 300,SEDAN,Used,,101/Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,23 City / 34 Highway,2019,94103,"18,875",35995
San Francisco,BMW,X3,SUV,Certified,Black,Black Sensatec,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 29 Highway,2019,94103,"19,881",40295
San Francisco,BMW,X3,SUV,Certified,White,Canberra Beige/Black Sensatec,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 29 Highway,2019,94103,"18,686",40595
San Francisco,BMW,X6,SUV,Used,Gray,Black Dakota Leather,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,18 City / 24 Highway,2016,94103,"45,673",41995
San Francisco,BMW,X6,SUV,Certified,Black,Black Dakota Leather,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,18 City / 24 Highway,2018,94103,"18,423",52995
San Francisco,BMW,M3,SEDAN,Used,Blue,Opal White Extended Merino,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,,2018,94103,"27,731",68995
San Francisco,GMC,Yukon,SUV,Used,White,Jet Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,14 City / 22 Highway,2019,94103,"20,281",69995
San Francisco,BMW,M4,COUPE,Used,Red,Black Extended Merino Leather,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,16 City / 23 Highway,2021,94103,"6,651",89995
San Francisco,Toyota,Prius C,HATCH,Used,White,"1201: Gray, 1203 And1205:",Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,53 City / 46 Highway,2012,94103,"20,010",14995
San Francisco,Honda,Civic,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,31 City / 40 Highway,2017,94103,"25,013",19957
San Francisco,Mercedes-Benz,CLA 250,SEDAN,Used,,2101/Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 37 Highway,2014,94103,"53,002",20767
San Francisco,Nissan,Sentra,SEDAN,Used,Blue,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 39 Highway,2020,94103,"9,832",23495
San Francisco,Mercedes-Benz,CLA 250,SEDAN,Used,Gray,,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 37 Highway,2016,94103,"30,473",23767
San Francisco,BMW,X1,SUV,Used,Gray,Black Sensatec,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 32 Highway,2017,94103,"39,476",23997
San Francisco,MINI,Cooper,HATCH,Used,White,Carbon Black Leatherette,Automatic,Gasoline,3-Cylinder Turbo,2 wheel drive - front,27 City / 35 Highway,2019,94103,"13,592",24995
San Francisco,Ford,Escape,SUV,Used,Green,B1/Ebony,Automatic,Gasoline,3-Cylinder Turbo,2 wheel drive - front,27 City / 33 Highway,2020,94103,"19,766",25787
San Francisco,Volkswagen,Tiguan,SUV,Used,Orange,Black Leatherette,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 27 Highway,2018,94103,"30,445",25995
San Francisco,Toyota,Prius,HATCH,Used,Red,Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,54 City / 50 Highway,2018,94103,"29,140",25997
San Francisco,BMW,X1,SUV,Used,Gray,Black Sensatec,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 32 Highway,2018,94103,"28,253",26697
San Francisco,BMW,i3,HATCH,Certified,White,Deka Dark Cloth,Single-Speed,Electric,Electric,2 wheel drive - rear,124 City / 102 Highway,2019,94103,"29,782",27297
San Francisco,BMW,X2,SUV,Certified,Silver,Black Sensatec,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 32 Highway,2018,94103,"25,898",27897
San Francisco,Mercedes-Benz,C 300,SEDAN,Used,,101/Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24 City / 33 Highway,2018,94103,"32,601",28357
San Francisco,BMW,330i,SEDAN,Certified,Black,Cognac Lthr W/Dark Brown Hglgt,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24 City / 34 Highway,2018,94103,"30,601",28487
San Francisco,Mercedes-Benz,GLA 250,SUV,Used,,,Automatic,Flexible Fuel,4-Cylinder Turbo,All wheel drive,24 City / 31 Highway,2016,94103,"29,753",29295
San Francisco,BMW,X2,SUV,Certified,Black,Black Sensatec,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 32 Highway,2018,94103,"26,341",29295
