City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
San Jose,Honda,Accord,SEDAN,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2019,95136,"19,326",30299
San Jose,Ford,Fusion,SEDAN,Certified,Blue,Ebony,Automatic,Hybrid Gas/Electric,Plug-in Hybrid,2 wheel drive - front,43 City / 40 Highway,2019,94087,"8,357",26995
San Jose,Audi,Q5,SUV,Certified,Blue,Atlas Beige,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 27 Highway,2018,95117,"28,136",34200
San Jose,Audi,Q7,SUV,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,19 City / 25 Highway,2019,95117,"37,506",43500
San Jose,Audi,Q8,SUV,Certified,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,17 City / 22 Highway,2019,95117,"24,343",69200
San Jose,Lexus,ES 350,SEDAN,Certified,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 33 Highway,2019,95117,"29,186",43988
San Jose,Lexus,RX 350,SUV,Certified,Black,Rioja Red,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2019,95117,"23,750",50988
San Jose,Ford,Bronco,SUV,Certified,Black,Black Onyx,Manual,Gasoline,4-Cylinder Turbo,4 wheel drive,20 City / 22 Highway,2021,95051,572,47530
San Jose,Land Rover,Range Rover Velar,SUV,Used,Red,Acorn/Ebony,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,21 City / 27 Highway,2020,95129,"16,112",57520
San Jose,Land Rover,Range Rover,SUV,Used,White,Almond/Espresso/Almond/Ivory,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,19 City / 24 Highway,2020,95129,"17,873",94561
San Jose,Jeep,Cherokee,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,21 City / 28 Highway,2014,95129,"79,911",15988
San Jose,MAZDA,MAZDA3,HATCH,Used,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 37 Highway,2017,95129,"33,178",19788
San Jose,MINI,Cooper,CONVERT,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 33 Highway,2019,95051,"14,114",35995
San Jose,Lexus,IS 350,SEDAN,Used,Black,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,20 City / 28 Highway,2019,95051,"20,201",42955
San Jose,Tesla,Model 3,SEDAN,Used,White,Black,Single-Speed,Electric,Electric,All wheel drive,,2021,95051,"8,283",57955
San Jose,BMW,230i,COUPE,Used,Blue,Beige,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24 City / 35 Highway,2018,95051,"16,708",29999
San Jose,BMW,X2,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 31 Highway,2018,95051,"32,042",30499
San Jose,BMW,X3,SUV,Certified,White,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,23 City / 30 Highway,2019,95051,"17,685",34999
San Jose,BMW,228i xDrive Gran Coupe,SEDAN,Used,White,Beige,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2020,95051,"7,025",37999
San Jose,BMW,X4,SUV,Used,Red,Brown,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,19 City / 26 Highway,2017,95051,"42,535",37999
San Jose,BMW,530e,SEDAN,Used,Black,Black,Automatic,Hybrid Gas/Electric,Plug-in Hybrid,2 wheel drive - rear,27 City / 30 Highway,2019,95051,"24,184",39999
San Jose,BMW,840i,COUPE,Used,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,23 City / 30 Highway,2022,95051,"5,559",79999
San Jose,BMW,M8,CONVERT,Used,Red,Tan,Automatic,Gasoline,8-Cylinder Turbo,All wheel drive,15 City / 21 Highway,2020,95051,"17,884",114999
San Jose,Mercedes-Benz,CLA 250,SEDAN,Certified,Gray,Black,Automatic,Flexible Fuel,4-Cylinder Turbo,All wheel drive,24 City / 32 Highway,2018,95051,"14,254",33955
San Jose,Mercedes-Benz,GLC 300,SUV,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,22 City / 28 Highway,2018,95051,"24,028",35499
San Jose,Mercedes-Benz,GLC 300,SUV,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 28 Highway,2018,95051,"35,687",36496
