City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Tucson,Ford,Mustang,COUPE,Used,White,,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 27 Highway,2016,85716,"24,054",22576
Tucson,Chevrolet,Silverado 1500,TRUCKS,Used,Brown,Light Cashmere/Dark Cashmere,Automatic,Flexible Fuel,8-Cylinder,4 wheel drive,15 City / 21 Highway,2013,85716,"60,710",29864
Tucson,Ford,Fusion,SEDAN,Used,Silver,,Automatic,Flexible Fuel,6-Cylinder,2 wheel drive - front,20 City / 28 Highway,2012,85716,"89,447",8999
Tucson,Hyundai,Genesis,SEDAN,Used,Black,Saddle,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,18 City / 28 Highway,2012,85716,"73,347",13428
Tucson,Hyundai,Elantra,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 37 Highway,2018,85716,"56,798",14996
Tucson,Jeep,Grand Cherokee,SUV,Used,White,Black,Automatic,Flexible Fuel,6-Cylinder,2 wheel drive - rear,17 City / 25 Highway,2015,85716,"96,209",16851
Tucson,Chevrolet,Corvette,COUPE,Used,Silver,Black,Manual,Gasoline,8-Cylinder,2 wheel drive - rear,17 City / 26 Highway,2002,85716,"57,088",16995
Tucson,Toyota,Corolla,SEDAN,Used,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 36 Highway,2017,85716,"46,956",17995
Tucson,Toyota,Camry,SEDAN,Used,White,,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 34 Highway,2015,85716,"47,334",19304
Tucson,Honda,Accord,SEDAN,Used,White,,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2018,85716,"29,423",26022
Tucson,RAM,1500,TRUCKS,Used,Black,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 21 Highway,2015,85716,"54,770",35895
Tucson,Mercedes-Benz,GLA 250,SUV,Used,Red,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 30 Highway,2020,85716,"16,511",37995
Tucson,Toyota,Tundra,TRUCKS,Used,Blue,Graphite,Automatic,Flexible Fuel,8-Cylinder,4 wheel drive,13 City / 17 Highway,2015,85716,"66,219",37995
Tucson,GMC,Sierra 1500,TRUCKS,Used,Black,Jet Black/Spice Red All-Terrai,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 21 Highway,2016,85716,"39,912",42995
Tucson,GMC,Sierra 1500,TRUCKS,Used,Gray,Jet Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,16 City / 22 Highway,2015,85716,"33,292",43995
Tucson,Dodge,Ram 3500 Truck,TRUCKS,Used,Blue,Dark Slate,Automatic,Diesel,6-Cylinder Turbo,4 wheel drive,,2010,85716,"80,751",43995
Tucson,Toyota,Tacoma,TRUCKS,Used,Blue,Black,Manual,Gasoline,6-Cylinder,4 wheel drive,17 City / 20 Highway,2019,85716,"21,703",49533
Tucson,Chevrolet,Camaro,COUPE,Used,White,Jet Black With Red Accents,Manual,Gasoline,8-Cylinder Supercharged,2 wheel drive - rear,14 City / 20 Highway,2018,85716,"32,764",54917
Tucson,GMC,Sierra 1500,TRUCKS,Used,Gray,Jet Black With Kalahari Accent,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 19 Highway,2020,85716,"17,989",62407
Tucson,Chrysler,300,SEDAN,Used,Blue,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,19 City / 30 Highway,2019,85710,"17,970",28820
Tucson,Jeep,Cherokee,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 31 Highway,2019,85710,"39,429",24819
Tucson,Volvo,XC90,SUV,Used,Silver,Charcoal,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,All wheel drive,26 City / 28 Highway,2020,85705,"5,074",65490
Tucson,Buick,Verano,SEDAN,Used,Blue,Medium Titanium,Automatic,Flexible Fuel,4-Cylinder,2 wheel drive - front,21 City / 31 Highway,2013,85712,"96,391",9995
Tucson,Dodge,Ram 2500 Truck,TRUCKS,Used,Red,,Automatic,Gasoline,8-Cylinder,4 wheel drive,,2001,85716,"147,048",9987
Tucson,Kia,Rio,SEDAN,Used,Blue,Beige,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 36 Highway,2016,85716,"71,731",10898
Tucson,Toyota,Tundra,TRUCKS,Used,Silver,,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,14 City / 17 Highway,2006,85716,"144,161",11451
Tucson,Toyota,Corolla,SEDAN,Used,Gray,,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,,2010,85716,"30,144",11554
Tucson,Ford,Fusion,SEDAN,Used,White,Dune,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 34 Highway,2013,85716,"59,499",12271
Tucson,Chevrolet,Camaro,COUPE,Used,Red,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,,2011,85716,"95,295",12909
Tucson,Audi,Q5,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2012,85716,"89,116",13995
Tucson,Mitsubishi,Mirage G4,SEDAN,Used,Silver,,Automatic,Gasoline,3-Cylinder,2 wheel drive - front,35 City / 41 Highway,2020,85716,"19,216",14499
Tucson,Nissan,Altima,SEDAN,Used,Silver,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 37 Highway,2015,85716,"52,936",14663
Tucson,Chevrolet,Camaro,COUPE,Used,Orange,Black,Manual,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 24 Highway,2010,85716,"93,440",16995
Tucson,Chevrolet,Tahoe,SUV,Used,White,Light Cashmere/Dark Cashmere,Automatic,Flexible Fuel,8-Cylinder,4 wheel drive,15 City / 21 Highway,2012,85716,"128,850",18995
Tucson,Chevrolet,Colorado,TRUCKS,Used,White,Jet Black/Dark Ash,Manual,Gasoline,4-Cylinder,2 wheel drive - rear,19 City / 26 Highway,2016,85716,"54,821",19995
Tucson,Honda,Civic,COUPE,Used,Black,,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,30 City / 38 Highway,2020,85716,"16,651",21370
Tucson,Volkswagen,Tiguan,SUV,Used,White,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22 City / 29 Highway,2019,85716,"28,638",22482
Tucson,Ford,F150,TRUCKS,Used,White,,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,14 City / 19 Highway,2014,85716,"74,257",23920
Tucson,Volkswagen,Jetta,SEDAN,Used,Black,,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 32 Highway,2019,85716,"21,628",23999
Tucson,Toyota,Camry,SEDAN,Used,,,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 41 Highway,2019,85716,"18,788",24019
Tucson,GMC,Terrain,SUV,Used,Silver,Medium Ash Gray/Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 30 Highway,2019,85716,"23,200",24575
Tucson,Buick,Encore GX,SUV,Used,Brown,Whisper Beige With Ebony,Automatic,Gasoline,3-Cylinder Turbo,2 wheel drive - front,28 City / 31 Highway,2021,85716,"14,020",24895
