City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Washington,Lexus,NX 200t,SUV,Used,Gray,,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 27 Highway,2017,20746,"49,809",30995
Washington,Honda,CR-V,SUV,Used,Black,Ivory,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,27 City / 33 Highway,2017,20724,"34,201",29999
Washington,Ford,Fusion,SEDAN,Used,Silver,Charcoal Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,22 City / 33 Highway,2013,22044,"84,526",11000
Washington,Ford,Fusion,SEDAN,Used,Silver,Charcoal Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 31 Highway,2016,22044,"56,772",17500
Washington,Ford,Mustang,COUPE,Used,Blue,Ebony,,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,,2019,22044,"15,569",26500
Washington,Ford,Ranger,TRUCKS,Used,Gray,Ebony,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,20 City / 24 Highway,2019,22044,"6,347",33000
Washington,Cadillac,XT4,SUV,Certified,White,Sedona/Jet Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 29 Highway,2019,20817,"26,690",40000
Washington,RAM,1500,TRUCKS,Used,Silver,Diesel Gray/Black,Automatic,Flexible Fuel,6-Cylinder,2 wheel drive - rear,17 City / 25 Highway,2017,20748,"37,022",24950
Washington,Nissan,Altima,SEDAN,Used,White,Light Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,28 City / 39 Highway,2020,20748,"12,948",25890
Washington,Acura,TLX,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,23 City / 33 Highway,2019,20748,"17,664",31490
Washington,Buick,LaCrosse,SEDAN,Used,Gold,Neutral,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,17 City / 28 Highway,2008,22207,"100,297",6500
Washington,Hyundai,Elantra,SEDAN,Used,Black,Beige,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 37 Highway,2014,22207,"73,513",12000
Washington,Volvo,S60,SEDAN,Used,Beige,Soft Beige,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 34 Highway,2015,22207,"49,072",17500
Washington,Nissan,Kicks,SUV,Used,Silver,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,31 City / 36 Highway,2018,22207,"27,107",21000
Washington,BMW,535i xDrive,SEDAN,Used,Gray,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 29 Highway,2016,22207,"35,837",30400
Washington,Toyota,Highlander,SUV,Used,Gray,Ash,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 27 Highway,2018,22207,"38,333",33500
Washington,Toyota,RAV4,SUV,Used,Gray,Light Gray,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 33 Highway,2019,22207,"16,849",33500
Washington,Toyota,RAV4,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 35 Highway,2020,20852,"17,454",27990
Washington,BMW,320i xDrive,SEDAN,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 34 Highway,2018,20852,"16,915",29550
Washington,Ford,Mustang,COUPE,Used,Blue,Charcoal Black,,Gasoline,6-Cylinder,2 wheel drive - rear,,2014,22182,"71,707",16500
Washington,RAM,1500,TRUCKS,Used,White,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,19 City / 24 Highway,2019,22182,"26,945",41000
Washington,Dodge,Challenger,COUPE,Used,Gray,Black,Manual,Gasoline,8-Cylinder,2 wheel drive - rear,14 City / 23 Highway,2021,22182,611,48000
Washington,Jeep,Gladiator,TRUCKS,Used,Black,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,17 City / 22 Highway,2020,22182,"18,558",54000
Washington,BMW,230i xDrive,CONVERT,Certified,White,Beige,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2019,22031,"5,823",40899
Washington,BMW,X5,SUV,Certified,Black,Tan,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 26 Highway,2019,22031,"15,129",57899
Washington,Toyota,Prius,HATCH,Certified,Gray,Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,54 City / 50 Highway,2017,22182,"39,945",24000
Washington,Ford,F250,TRUCKS,Used,White,Steel,Automatic,Flexible Fuel,8-Cylinder,4 wheel drive,,2015,22182,"56,169",30000
Washington,Toyota,Highlander,SUV,Certified,Gray,Ash,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2018,22182,"36,344",36000
Washington,Honda,Accord,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,30 City / 38 Highway,2019,20724,"14,787",28995
Washington,Subaru,WRX,SEDAN,Used,Blue,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,18 City / 24 Highway,2017,22312,"44,712",27977
Washington,Ford,Mustang,COUPE,Used,White,Ebony,Manual,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 25 Highway,2018,22312,"35,241",32977
Washington,Honda,Odyssey,VANS,Used,Black,Gray,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 28 Highway,2019,22312,"38,834",33977
Washington,Nissan,Rogue,SUV,Used,Black,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 31 Highway,2015,20746,"60,531",17599
Washington,Nissan,Sentra,SEDAN,Certified,Red,Tan,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 39 Highway,2020,20746,"19,496",24495
Washington,Nissan,Rogue,SUV,Used,Orange,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 32 Highway,2019,20746,"22,150",30995
Washington,Toyota,Tundra,TRUCKS,Used,Black,Sand Beige,Automatic,Flexible Fuel,8-Cylinder,4 wheel drive,13 City / 17 Highway,2016,20746,"66,755",34895
Washington,Nissan,Sentra,SEDAN,Used,Red,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 37 Highway,2019,20706,"22,396",21490
Washington,Jeep,Cherokee,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,21 City / 28 Highway,2016,20706,"56,285",22750
Washington,GMC,Terrain,SUV,Used,Black,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 30 Highway,2018,20706,"11,961",26490
Washington,BMW,330i xDrive,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 33 Highway,2018,20706,"34,849",32950
Washington,Toyota,RAV4,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,22 City / 28 Highway,2018,20706,"18,971",33490
Washington,Toyota,RAV4,SUV,Certified,Black,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,27 City / 33 Highway,2021,20746,"8,219",38241
Washington,Toyota,Highlander,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,20 City / 26 Highway,2019,20746,"24,442",39618
Washington,Ford,Mustang,CONVERT,Used,Silver,Ebony,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,,2017,22044,"58,928",24000
Washington,Ford,F250,TRUCKS,Used,White,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,,2020,22044,"11,900",67000
Washington,INFINITI,Q50,SEDAN,Used,Blue,Stone,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 28 Highway,2018,20746,"26,117",28255
Washington,INFINITI,QX60,SUV,Used,Gray,Graphite,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2019,20746,"27,085",39570
Washington,Toyota,Sienna,VANS,Used,Silver,Ash,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 27 Highway,2019,20746,"11,456",40996
Washington,INFINITI,Q50,SEDAN,Used,Black,Graphite,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,19 City / 27 Highway,2020,20746,"16,551",42276
Washington,Volkswagen,Passat,SEDAN,Used,White,Titan Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 36 Highway,2018,20746,"24,412",21495
Washington,BMW,540i xDrive,SEDAN,Used,Black,Mocha,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 29 Highway,2018,20746,"58,289",38995
Washington,BMW,X6,SUV,Used,Gray,Coral Red/Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,18 City / 24 Highway,2018,20746,"55,019",47995
Washington,BMW,540i xDrive,SEDAN,Certified,Blue,Canberra Beige/Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,21 City / 29 Highway,2019,20746,"23,322",47995
Washington,Mercedes-Benz,C 300,CONVERT,Used,Gray,Magma Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 29 Highway,2019,20746,"24,827",52995
Washington,BMW,M550i xDrive,SEDAN,Certified,Gray,Mocha,Automatic,Gasoline,8-Cylinder Turbo,All wheel drive,18 City / 25 Highway,2020,20746,"16,549",69995
Washington,Hyundai,Tucson,SUV,Used,White,Beige,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,25 City / 30 Highway,2017,20716,"35,482",22315
Washington,Ford,F150,TRUCKS,Used,Gray,Black,Automatic,Gasoline,6-Cylinder Turbo,4 wheel drive,19 City / 22 Highway,2021,22304,"4,066",55555
Washington,Honda,Accord,SEDAN,Used,White,Biege,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 36 Highway,2016,22304,"16,482",24490
Washington,Nissan,Altima,SEDAN,Used,Silver,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 39 Highway,2016,20904,"28,493",19988
Washington,Lexus,NX 300,SUV,Used,Silver,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 28 Highway,2019,20904,"9,371",37958
Washington,Lexus,ES 300h,SEDAN,Used,Silver,Black,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,43 City / 45 Highway,2019,20904,"18,851",40923
Washington,Land Rover,Discovery Sport,SUV,Used,White,Acorn,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,19 City / 24 Highway,2020,20904,"8,855",42328
Washington,Cadillac,Escalade ESV,SUV,Used,White,Maple Sugar,Automatic,Gasoline,8-Cylinder,4 wheel drive,14 City / 21 Highway,2019,20817,"23,485",78000
Washington,Chevrolet,Traverse,SUV,Used,Silver,Dark Titanium/Light Titanium,Automatic,Gasoline,6-Cylinder,All wheel drive,15 City / 22 Highway,2017,20748,"33,930",26450
Washington,Lincoln,MKC,SUV,Used,Black,Brown,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,19 City / 25 Highway,2019,20748,"43,412",34250
Washington,Buick,Regal,SEDAN,Used,Red,Light Neutral,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,21 City / 29 Highway,2014,22207,"60,927",15500
Washington,Ford,Escape,SUV,Used,,Charcoal Black,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,22 City / 29 Highway,2015,22207,"51,288",18800
Washington,MAZDA,MX-5 Miata,CONVERT,Used,Black,Spicy Mocha,Automatic,Gasoline,4-Cylinder,2 wheel drive - rear,21 City / 27 Highway,2014,22207,"16,786",22000
Washington,Toyota,RAV4,SUV,Used,Gray,Latte,Automatic,Gasoline,4-Cylinder,All wheel drive,22 City / 28 Highway,2015,22207,"78,559",22500
Washington,Nissan,Rogue,SUV,Used,Gray,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 32 Highway,2018,22207,"19,677",24000
Washington,Nissan,Leaf,HATCH,Used,Silver,Black,Single-Speed,Electric,Electric,2 wheel drive - front,,2019,22207,"20,646",25000
Washington,MINI,Cooper,HATCH,Used,Red,Carbon Black,Automatic,Gasoline,3-Cylinder Turbo,2 wheel drive - front,28 City / 36 Highway,2020,22207,"14,484",25500
Washington,Toyota,RAV4,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 33 Highway,2019,22207,"27,459",33500
Washington,Chevrolet,Silverado 1500,TRUCKS,Used,White,Jet Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 20 Highway,2019,22207,"27,795",35000
Washington,Toyota,Tacoma,TRUCKS,Used,Gray,Black/Red,Manual,Gasoline,6-Cylinder,4 wheel drive,17 City / 20 Highway,2020,22207,"16,325",40500
Washington,BMW,X3,SUV,Used,Black,Canberra Beige/Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,25 City / 29 Highway,2021,22207,"6,949",44000
Washington,Mercedes-Benz,S 550,SEDAN,Used,Black,Black,Automatic,Gasoline,8-Cylinder,All wheel drive,15 City / 23 Highway,2010,22201,"73,211",20995
Washington,Volvo,S90,SEDAN,Used,Black,Charcoal,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,23 City / 34 Highway,2017,22201,"48,271",27695
Washington,Chevrolet,Trax,SUV,Certified,Gray,Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 31 Highway,2020,20852,"13,655",22600
Washington,MAZDA,CX-30,SUV,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,24 City / 31 Highway,2021,20852,"9,647",28900
Washington,Chevrolet,Corvette,COUPE,Used,White,Adrenaline Red,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,15 City / 25 Highway,2019,22207,"12,756",59745
Washington,Volvo,XC60,SUV,Used,Gray,Charcoal,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,19 City / 27 Highway,2019,20814,"11,680",44990
Washington,Volkswagen,ID.4,SUV,Used,Black,Galaxy Black,Single-Speed,Electric,Electric,2 wheel drive - rear,,2021,20814,"2,423",47999
Washington,BMW,X5,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 26 Highway,2019,20852,"7,852",59995
Washington,Toyota,RAV4,SUV,Used,Gray,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,22 City / 28 Highway,2018,20852,"12,497",26999
Washington,Volvo,XC60,SUV,Used,Gray,Beige,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,20 City / 27 Highway,2019,20852,"14,921",42999
Washington,Porsche,Cayman,COUPE,Used,Silver,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,21 City / 29 Highway,2014,20852,"12,691",59999
Washington,Toyota,RAV4,SUV,Certified,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 35 Highway,2019,22305,"31,920",28996
Washington,Toyota,Avalon,SEDAN,Certified,White,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 31 Highway,2021,22305,"4,097",40996
